outcome_class,raw_probability,calibrated_probability
home_win,0.0,0.0
home_win,0.05,0.0588
home_win,0.1,0.1895
home_win,0.15,0.1895
home_win,0.2,0.2115
home_win,0.25,0.2612
home_win,0.3,0.2851
home_win,0.35,0.3878
home_win,0.4,0.3878
home_win,0.45,0.4194
home_win,0.5,0.479
home_win,0.55,0.5625
home_win,0.6,0.5808
home_win,0.65,0.6154
home_win,0.7,0.7238
home_win,0.75,0.7238
home_win,0.8,0.732
home_win,0.85,0.732
home_win,0.9,0.7895
home_win,0.95,0.8
home_win,1.0,1.0
draw,0.0,0.0
draw,0.05,0.1429
draw,0.1,0.1702
draw,0.15,0.1702
draw,0.2,0.2174
draw,0.25,0.2699
draw,0.3,0.2771
draw,0.35,0.2771
draw,0.4,0.2771
draw,0.45,0.2771
draw,0.5,0.2771
draw,0.55,0.2771
draw,0.6,0.2771
draw,0.65,0.2771
draw,0.7,0.2771
draw,0.75,0.2771
draw,0.8,0.2771
draw,0.85,0.2771
draw,0.9,0.2771
draw,0.95,0.2771
draw,1.0,0.2771
away_win,0.0,0.0
away_win,0.05,0.0667
away_win,0.1,0.1008
away_win,0.15,0.1464
away_win,0.2,0.186
away_win,0.25,0.3352
away_win,0.3,0.3352
away_win,0.35,0.3352
away_win,0.4,0.4548
away_win,0.45,0.4548
away_win,0.5,0.4548
away_win,0.55,0.4769
away_win,0.6,0.5688
away_win,0.65,0.5688
away_win,0.7,0.6667
away_win,0.75,0.7111
away_win,0.8,0.8571
away_win,0.85,0.8571
away_win,0.9,1.0
away_win,0.95,1.0
away_win,1.0,1.0
