team,matchweek,attack_strength_mean,attack_strength_p05,attack_strength_p95,defense_strength_mean,defense_strength_p05,defense_strength_p95,home_strength_mean,away_strength_mean,uncertainty_score,is_promoted_team,model_version,generated_at
1. FC Köln,0,0.112,-0.1837,0.4077,-0.1766,-0.4286,0.0755,0.4715,0.2885,1.0954,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
1. FC Union Berlin,0,0.0279,-0.2419,0.2978,-0.0769,-0.3115,0.1578,0.2878,0.1048,1.009,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
1. FSV Mainz 05,0,0.1274,-0.1258,0.3805,0.0126,-0.2349,0.2602,0.2977,0.1147,1.0014,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Bayer 04 Leverkusen,0,0.4277,0.218,0.6374,0.097,-0.167,0.361,0.5137,0.3307,0.9474,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Bielefeld,0,-0.2323,-2.0991,1.6345,-0.0297,-1.5559,1.4966,-0.0197,-0.2027,6.7862,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Bochum,0,-0.0891,-0.5544,0.3761,-0.228,-0.573,0.1169,0.3219,0.1389,1.6204,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Borussia Dortmund,0,0.4438,0.2368,0.6508,0.1807,-0.0972,0.4586,0.4461,0.2631,0.9698,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Borussia Mönchengladbach,0,0.1305,-0.123,0.3839,-0.0665,-0.3023,0.1693,0.38,0.197,0.9785,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Darmstadt,0,-0.285,-1.3119,0.7419,-0.403,-1.0172,0.2112,0.301,0.118,3.2822,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Eintracht Frankfurt,0,0.3117,0.0848,0.5386,-0.1145,-0.3453,0.1164,0.6092,0.4262,0.9155,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
FC Augsburg,0,0.0483,-0.2187,0.3152,-0.0984,-0.3291,0.1324,0.3296,0.1466,0.9954,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
FC Bayern München,0,0.7902,0.6236,0.9569,0.1798,-0.1049,0.4646,0.7934,0.6104,0.9027,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
FC Schalke 04,0,-0.0906,-1.3493,1.1681,-0.1905,-1.1282,0.7472,0.2829,0.0999,4.3928,True,0.1.0-phase1,2026-09-16T20:07:23+00:00
Fortuna Dusseldorf,0,-0.0044,-2.7603,2.7514,-0.0897,-2.6944,2.515,0.2683,0.0853,10.7212,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Greuther Furth,0,-0.1668,-2.2124,1.8789,-0.2878,-1.8319,1.2563,0.304,0.121,7.1795,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Hamburger SV,0,0.0281,-0.3187,0.3749,-0.0552,-0.3566,0.2462,0.2663,0.0833,1.2964,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
Hannover,0,-0.0184,-3.0749,3.0381,-0.0414,-3.0197,2.9369,0.206,0.023,12.0697,False,0.1.0-phase1,2026-09-16T20:07:23+00:00
