team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability
1. FC Köln,3e-05,0.00069,0.00269,0.00657,0.01274,0.02114,0.03155,0.04438,0.06018,0.0761,0.09265,0.11016,0.1209,0.12531,0.11846,0.0961,0.05906,0.0213
1. FC Union Berlin,0.0,9e-05,0.00054,0.00162,0.00399,0.00818,0.01406,0.02252,0.0337,0.04775,0.06805,0.08821,0.11352,0.1423,0.15894,0.15149,0.10443,0.0406
1. FSV Mainz 05,0.00029,0.00452,0.01434,0.02947,0.0489,0.06837,0.08697,0.10112,0.10843,0.1115,0.10708,0.09513,0.07987,0.06276,0.04282,0.02532,0.01073,0.00237
Bayer 04 Leverkusen,0.0168,0.10371,0.18289,0.19031,0.15708,0.11653,0.08168,0.05587,0.03708,0.02444,0.0149,0.00915,0.0051,0.00257,0.0013,0.00044,0.00013,3e-05
Borussia Dortmund,0.09494,0.30998,0.25228,0.15157,0.08518,0.04774,0.02652,0.01513,0.00829,0.00425,0.00212,0.00112,0.00057,0.00023,6e-05,2e-05,1e-05,0.0
Borussia Mönchengladbach,3e-05,0.00016,0.00104,0.00313,0.00697,0.01324,0.02246,0.03331,0.04784,0.06424,0.08399,0.10312,0.12182,0.13705,0.13993,0.11946,0.07494,0.0273
Eintracht Frankfurt,0.00054,0.00745,0.02214,0.0424,0.06395,0.08414,0.10081,0.10917,0.11285,0.10752,0.09581,0.081,0.06524,0.04718,0.03182,0.01806,0.00783,0.0021
FC Augsburg,0.00039,0.00498,0.01568,0.032,0.05231,0.07343,0.092,0.10541,0.11278,0.11178,0.10481,0.09174,0.07594,0.05671,0.03792,0.02118,0.00903,0.0019
FC Bayern München,0.69767,0.21915,0.05918,0.01642,0.00494,0.00162,0.00063,0.00027,7e-05,2e-05,2e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0
FC Schalke 04,0.05639,0.06841,0.04346,0.02977,0.02277,0.0208,0.02004,0.01985,0.02014,0.02128,0.0231,0.02576,0.03078,0.03789,0.05393,0.08936,0.16856,0.2477
Hamburger SV,0.0,5e-05,0.0004,0.00099,0.0021,0.00406,0.00728,0.01126,0.01758,0.02604,0.03701,0.05306,0.07583,0.10605,0.15135,0.19634,0.19586,0.11474
RB Leipzig,0.01032,0.06981,0.13344,0.16094,0.15505,0.13264,0.10356,0.07752,0.05565,0.03851,0.02531,0.01679,0.01046,0.00559,0.00284,0.00123,0.00029,5e-05
SC Paderborn 07,0.04358,0.05992,0.0444,0.0301,0.02344,0.02071,0.01935,0.0189,0.01901,0.01986,0.02162,0.02331,0.02738,0.03339,0.04605,0.07467,0.13981,0.33449
SV Elversberg,0.07032,0.07052,0.04278,0.02889,0.02412,0.02245,0.02142,0.02095,0.0215,0.02245,0.02487,0.02809,0.033,0.04166,0.05927,0.10084,0.17552,0.19136
SV Werder Bremen,1e-05,0.00079,0.00278,0.00693,0.01392,0.02373,0.03722,0.05291,0.06889,0.08742,0.10436,0.11954,0.12386,0.12038,0.1041,0.0778,0.04201,0.01334
Sport-Club Freiburg,0.00232,0.02179,0.05315,0.08519,0.11072,0.1243,0.12447,0.11364,0.09858,0.08119,0.06379,0.04752,0.03242,0.02098,0.01183,0.00576,0.00199,0.00035
TSG Hoffenheim,0.00036,0.00546,0.01987,0.03944,0.06018,0.08025,0.09733,0.1095,0.11158,0.10761,0.09756,0.08394,0.06889,0.05175,0.0349,0.02005,0.00912,0.00222
VfB Stuttgart,0.00601,0.05253,0.10894,0.14426,0.15164,0.13668,0.11264,0.0883,0.06587,0.04804,0.03296,0.02238,0.01441,0.0082,0.00448,0.00186,0.00068,0.00014
