matchweek,horizon_bucket,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
4,0-2,home_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,0-2,home_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,0-2,home_win,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,0-2,home_win,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,0-2,home_win,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,0-2,home_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,0-2,home_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,0-2,home_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,0-2,home_win,0.8,0.9,4,0.8443,1.0,2026-09-21T07:39:40+00:00
4,0-2,home_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,0-2,draw,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,0-2,draw,0.1,0.2,4,0.1035,0.0,2026-09-21T07:39:40+00:00
4,0-2,draw,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,0-2,draw,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,0-2,draw,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,0-2,draw,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,0-2,draw,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,0-2,draw,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,0-2,draw,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,0-2,draw,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.0,0.1,4,0.0522,0.0,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,0-2,away_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.1,0.2,1,0.1898,1.0,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.2,0.3,4,0.2521,0.75,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.3,0.4,3,0.3435,0.0,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.4,0.5,4,0.4358,1.0,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,3-7,home_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,3-7,draw,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,3-7,draw,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,3-7,draw,0.2,0.3,12,0.2524,0.3333,2026-09-21T07:39:40+00:00
4,3-7,draw,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,3-7,draw,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,3-7,draw,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,3-7,draw,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,3-7,draw,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,3-7,draw,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,3-7,draw,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.2,0.3,4,0.272,0.0,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.3,0.4,2,0.3874,0.0,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.4,0.5,3,0.4749,0.0,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.5,0.6,3,0.5706,0.0,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,3-7,away_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,8-30,home_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,8-30,draw,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
