matchweek,track,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
4,operational,home_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,operational,home_win,0.1,0.2,1,0.1898,1.0,2026-09-21T07:39:40+00:00
4,operational,home_win,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,operational,home_win,0.3,0.4,5,0.3729,0.4,2026-09-21T07:39:40+00:00
4,operational,home_win,0.4,0.5,2,0.4294,0.5,2026-09-21T07:39:40+00:00
4,operational,home_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,operational,home_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,operational,home_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,operational,home_win,0.8,0.9,1,0.8453,1.0,2026-09-21T07:39:40+00:00
4,operational,home_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,operational,draw,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,operational,draw,0.1,0.2,1,0.103,0.0,2026-09-21T07:39:40+00:00
4,operational,draw,0.2,0.3,8,0.2585,0.25,2026-09-21T07:39:40+00:00
4,operational,draw,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,operational,draw,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,operational,draw,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,operational,draw,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,operational,draw,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,operational,draw,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,operational,draw,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,operational,away_win,0.0,0.1,1,0.0517,0.0,2026-09-21T07:39:40+00:00
4,operational,away_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,operational,away_win,0.2,0.3,1,0.2727,0.0,2026-09-21T07:39:40+00:00
4,operational,away_win,0.3,0.4,6,0.3586,0.3333,2026-09-21T07:39:40+00:00
4,operational,away_win,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,operational,away_win,0.5,0.6,1,0.5942,0.0,2026-09-21T07:39:40+00:00
4,operational,away_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,operational,away_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,operational,away_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,operational,away_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,preseason,home_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,preseason,draw,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.0,0.1,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.1,0.2,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.2,0.3,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.3,0.4,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.4,0.5,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.5,0.6,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.6,0.7,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.7,0.8,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.8,0.9,0,,,2026-09-21T07:39:40+00:00
4,preseason,away_win,0.9,1.0,0,,,2026-09-21T07:39:40+00:00
