outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency
home_win,0.0,0.1,62,0.0705,0.1613
home_win,0.1,0.2,206,0.1596,0.2039
home_win,0.2,0.3,293,0.2533,0.2901
home_win,0.3,0.4,387,0.3482,0.3307
home_win,0.4,0.5,396,0.4493,0.4167
home_win,0.5,0.6,309,0.5465,0.5307
home_win,0.6,0.7,244,0.6464,0.6311
home_win,0.7,0.8,143,0.748,0.7273
home_win,0.8,0.9,82,0.8445,0.7195
home_win,0.9,1.0,20,0.933,0.75
draw,0.0,0.1,55,0.0728,0.1636
draw,0.1,0.2,359,0.1623,0.1811
draw,0.2,0.3,1546,0.255,0.2652
draw,0.3,0.4,178,0.3214,0.2584
draw,0.4,0.5,4,0.4269,0.0
draw,0.5,0.6,0,,
draw,0.6,0.7,0,,
draw,0.7,0.8,0,,
draw,0.8,0.9,0,,
draw,0.9,1.0,0,,
away_win,0.0,0.1,217,0.0621,0.0783
away_win,0.1,0.2,427,0.1534,0.1522
away_win,0.2,0.3,465,0.2495,0.2882
away_win,0.3,0.4,382,0.3471,0.3482
away_win,0.4,0.5,284,0.4456,0.4613
away_win,0.5,0.6,195,0.5451,0.4821
away_win,0.6,0.7,99,0.6438,0.5657
away_win,0.7,0.8,57,0.7524,0.7544
away_win,0.8,0.9,12,0.8468,0.75
away_win,0.9,1.0,4,0.9322,1.0
