team,expected_position,median_position,position_5th_percentile,position_25th_percentile,position_75th_percentile,position_95th_percentile,expected_points,points_5th_percentile,points_25th_percentile,median_points,points_75th_percentile,points_95th_percentile,expected_wins,expected_draws,expected_losses,expected_goals_for,expected_goals_against,expected_goal_difference,title_probability,top_4_probability,top_5_probability,top_half_probability,relegation_probability,most_likely_finish,model_version,generated_at
FC Bayern München,1.258,1,1,1,1,3,82.05,69.0,77.0,83.0,87.0,94.0,25.95,4.18,3.86,112.2,38.56,73.64,0.82323,0.99346,0.99751,0.99997,0.0,1,0.1.0-phase1,2026-09-16T20:07:35+00:00
Borussia Dortmund,3.448,3,1,2,4,8,66.49,51.0,60.0,67.0,73.0,81.0,19.97,6.59,7.45,72.97,40.16,32.81,0.0832,0.77295,0.86131,0.98906,0.0003,2,0.1.0-phase1,2026-09-16T20:07:35+00:00
Bayer 04 Leverkusen,4.255,4,2,2,5,9,62.9,47.0,56.0,63.0,70.0,78.0,18.73,6.71,8.56,71.2,44.64,26.56,0.04486,0.64259,0.76264,0.97219,0.00124,3,0.1.0-phase1,2026-09-16T20:07:35+00:00
VfB Stuttgart,5.066,4,2,3,6,11,59.76,43.0,53.0,60.0,66.0,75.0,17.7,6.65,9.65,71.2,50.06,21.14,0.02428,0.51086,0.6502,0.94587,0.00312,3,0.1.0-phase1,2026-09-16T20:07:35+00:00
RB Leipzig,5.676,5,2,3,7,12,57.64,41.0,51.0,58.0,64.0,74.0,16.87,7.03,10.1,65.17,48.25,16.92,0.01601,0.41931,0.56256,0.9189,0.0055,4,0.1.0-phase1,2026-09-16T20:07:35+00:00
Eintracht Frankfurt,8.347,8,3,6,11,15,49.56,33.0,43.0,49.0,56.0,66.0,14.19,6.99,12.82,60.84,58.5,2.35,0.00255,0.14951,0.24335,0.72608,0.0364,6,0.1.0-phase1,2026-09-16T20:07:35+00:00
TSG Hoffenheim,8.629,8,3,6,11,15,48.79,33.0,42.0,49.0,55.0,65.0,13.94,6.97,13.09,60.36,59.45,0.91,0.00198,0.13176,0.22059,0.69924,0.04301,7,0.1.0-phase1,2026-09-16T20:07:35+00:00
1. FSV Mainz 05,9.417,9,4,7,12,16,46.61,31.0,40.0,47.0,53.0,63.0,12.91,7.9,13.2,48.83,50.65,-1.83,0.00112,0.09113,0.15959,0.6192,0.06254,8,0.1.0-phase1,2026-09-16T20:07:35+00:00
Sport-Club Freiburg,10.023,10,4,7,13,16,45.02,29.0,38.0,45.0,52.0,61.0,12.52,7.47,14.01,51.51,56.65,-5.15,0.00073,0.06986,0.12512,0.55379,0.08587,9,0.1.0-phase1,2026-09-16T20:07:35+00:00
Borussia Mönchengladbach,10.51,11,4,8,13,17,43.72,28.0,37.0,44.0,50.0,60.0,12.03,7.63,14.34,48.76,55.86,-7.1,0.00045,0.05383,0.10042,0.49929,0.10607,11,0.1.0-phase1,2026-09-16T20:07:35+00:00
Hamburger SV,11.75,12,5,9,15,18,40.32,23.0,33.0,40.0,47.0,59.0,10.83,7.84,15.33,43.39,55.78,-12.39,0.00052,0.04171,0.07441,0.3726,0.20979,15,0.1.0-phase1,2026-09-16T20:07:35+00:00
1. FC Union Berlin,12.134,12,6,10,15,17,39.39,24.0,33.0,39.0,46.0,55.0,10.53,7.81,15.67,42.95,56.93,-13.98,0.00016,0.0213,0.04375,0.32502,0.20655,14,0.1.0-phase1,2026-09-16T20:07:35+00:00
FC Augsburg,12.164,13,6,10,15,17,39.32,24.0,33.0,39.0,46.0,55.0,10.55,7.67,15.78,43.97,58.39,-14.42,0.0001,0.02082,0.04306,0.32115,0.20839,14,0.1.0-phase1,2026-09-16T20:07:35+00:00
1. FC Köln,12.379,13,6,10,15,18,38.67,23.0,32.0,38.0,45.0,56.0,10.49,7.21,16.3,47.41,64.25,-16.84,0.00016,0.02462,0.04714,0.30654,0.24506,15,0.1.0-phase1,2026-09-16T20:07:35+00:00
SV Werder Bremen,12.434,13,6,10,15,18,38.58,23.0,32.0,38.0,45.0,55.0,10.29,7.7,16.01,42.92,58.49,-15.57,9e-05,0.01785,0.03698,0.29388,0.23265,15,0.1.0-phase1,2026-09-16T20:07:35+00:00
SV Elversberg,14.498,16,7,12,17,18,31.73,15.0,24.0,31.0,39.0,51.0,8.17,7.23,18.6,37.9,66.9,-29.01,0.00021,0.01286,0.02374,0.15325,0.51816,18,0.1.0-phase1,2026-09-16T20:07:35+00:00
FC Schalke 04,14.506,16,7,13,17,18,31.71,14.0,24.0,31.0,39.0,51.0,8.16,7.23,18.61,37.91,66.94,-29.02,0.00018,0.01277,0.02383,0.15166,0.51683,18,0.1.0-phase1,2026-09-16T20:07:35+00:00
SC Paderborn 07,14.506,16,7,13,17,18,31.71,15.0,24.0,31.0,39.0,51.0,8.16,7.22,18.61,37.92,66.95,-29.03,0.00017,0.0128,0.02379,0.15232,0.51852,18,0.1.0-phase1,2026-09-16T20:07:35+00:00
