team,title_probability,expected_points,median_points
FC Bayern München,0.82323,82.05,83.0
Borussia Dortmund,0.0832,66.49,67.0
Bayer 04 Leverkusen,0.04486,62.9,63.0
VfB Stuttgart,0.02428,59.76,60.0
RB Leipzig,0.01601,57.64,58.0
Eintracht Frankfurt,0.00255,49.56,49.0
TSG Hoffenheim,0.00198,48.79,49.0
1. FSV Mainz 05,0.00112,46.61,47.0
Sport-Club Freiburg,0.00073,45.02,45.0
Hamburger SV,0.00052,40.32,40.0
Borussia Mönchengladbach,0.00045,43.72,44.0
SV Elversberg,0.00021,31.73,31.0
FC Schalke 04,0.00018,31.71,31.0
SC Paderborn 07,0.00017,31.71,31.0
1. FC Union Berlin,0.00016,39.39,39.0
1. FC Köln,0.00016,38.67,38.0
FC Augsburg,0.0001,39.32,39.0
SV Werder Bremen,9e-05,38.58,38.0
