team,top_4_probability,expected_points,expected_position
FC Bayern München,0.99346,82.05,1.258
Borussia Dortmund,0.77295,66.49,3.448
Bayer 04 Leverkusen,0.64259,62.9,4.255
VfB Stuttgart,0.51086,59.76,5.066
RB Leipzig,0.41931,57.64,5.676
Eintracht Frankfurt,0.14951,49.56,8.347
TSG Hoffenheim,0.13176,48.79,8.629
1. FSV Mainz 05,0.09113,46.61,9.417
Sport-Club Freiburg,0.06986,45.02,10.023
Borussia Mönchengladbach,0.05383,43.72,10.51
Hamburger SV,0.04171,40.32,11.75
1. FC Köln,0.02462,38.67,12.379
1. FC Union Berlin,0.0213,39.39,12.134
FC Augsburg,0.02082,39.32,12.164
SV Werder Bremen,0.01785,38.58,12.434
SV Elversberg,0.01286,31.73,14.498
SC Paderborn 07,0.0128,31.71,14.506
FC Schalke 04,0.01277,31.71,14.506
