matchweek,scope,track,model,n_matches,log_loss,brier,rps,generated_at
4,matchweek_4,operational,production,9,1.0395,0.6259,0.2279,2026-09-21T07:39:40+00:00
4,matchweek_4,operational,dc_raw,9,1.181,0.6691,0.2432,2026-09-21T07:39:40+00:00
4,matchweek_4,operational,market,5,0.8939,0.5367,0.1939,2026-09-21T07:39:40+00:00
4,cumulative,operational,production,9,1.0395,0.6259,0.2279,2026-09-21T07:39:40+00:00
4,cumulative,operational,dc_raw,9,1.181,0.6691,0.2432,2026-09-21T07:39:40+00:00
4,cumulative,operational,market,5,0.8939,0.5367,0.1939,2026-09-21T07:39:40+00:00
4,matchweek_4,preseason,production,0,,,,2026-09-21T07:39:40+00:00
4,matchweek_4,preseason,dc_raw,0,,,,2026-09-21T07:39:40+00:00
4,matchweek_4,preseason,market,0,,,,2026-09-21T07:39:40+00:00
4,cumulative,preseason,production,0,,,,2026-09-21T07:39:40+00:00
4,cumulative,preseason,dc_raw,0,,,,2026-09-21T07:39:40+00:00
4,cumulative,preseason,market,0,,,,2026-09-21T07:39:40+00:00
