season,date,home_team,away_team,actual_home_goals,actual_away_goals,actual_result,dc_home_win,dc_draw,dc_away_win,dc_predicted_score,dc_top10_scorelines_json,dc_lambda,dc_mu,dc_rho,elo_home_win,elo_draw,elo_away_win,prevseason_home_win,prevseason_draw,prevseason_away_win,simplepoisson_home_win,simplepoisson_draw,simplepoisson_away_win,simplepoisson_predicted_score,dc_log_loss,dc_brier,dc_rps,elo_log_loss,elo_brier,elo_rps,prevseason_log_loss,prevseason_brier,prevseason_rps,simplepoisson_log_loss,simplepoisson_brier,simplepoisson_rps
2019-20,2019-08-16,FC Bayern München,Hertha,2,2,draw,0.8401262229504629,0.1181774758270751,0.041696301222462116,3-0,"[{""score"": ""3-0"", ""probability"": 0.114113}, {""score"": ""2-0"", ""probability"": 0.109419}, {""score"": ""4-0"", ""probability"": 0.089256}, {""score"": ""3-1"", ""probability"": 0.077247}, {""score"": ""2-1"", ""probability"": 0.07407}, {""score"": ""1-0"", ""probability"": 0.061619}, {""score"": ""4-1"", ""probability"": 0.060421}, {""score"": ""5-0"", ""probability"": 0.055851}, {""score"": ""1-1"", ""probability"": 0.055674}, {""score"": ""5-1"", ""probability"": 0.037808}]",3.1287004916882335,0.6769359014038494,-0.17584651338689306,0.6606642246320846,0.189567990097258,0.14976778527065737,0.5936118676481952,0.05,0.35638813235180483,0.7782441141668228,0.15134225320456857,0.07041363262860859,2-0,2.135567752007592,1.485161616163354,0.35377532601232253,1.6630075320153281,1.1157076498885894,0.22945380360679565,2.995732273553991,1.381887550293986,0.23969377514699297,1.8882114294654941,1.3308419520911583,0.3053109904476297
2019-20,2019-08-17,Borussia Dortmund,FC Augsburg,5,1,home_win,0.7593023056039052,0.14950875429371055,0.09118894010238435,3-1,"[{""score"": ""3-1"", ""probability"": 0.082403}, {""score"": ""2-1"", ""probability"": 0.080164}, {""score"": ""3-0"", ""probability"": 0.07578}, {""score"": ""2-0"", ""probability"": 0.073721}, {""score"": ""4-1"", ""probability"": 0.063528}, {""score"": ""1-1"", ""probability"": 0.061133}, {""score"": ""4-0"", ""probability"": 0.058422}, {""score"": ""3-2"", ""probability"": 0.044802}, {""score"": ""2-2"", ""probability"": 0.043585}, {""score"": ""5-1"", ""probability"": 0.039181}]",3.0837914495602807,1.0873981921136466,-0.17584651338689306,0.6382167116594284,0.1934009495664307,0.16838233877414094,0.6064063246344042,0.050000000000000044,0.3435936753655957,0.6181690593513389,0.20575343902349794,0.1760775016251631,2-1,0.2753552862814466,0.08860367049504919,0.03312540144229607,0.4490773798659324,0.1966436870267638,0.07961987986678337,0.5002050149022896,0.27547259503903637,0.13648629751951818,0.4809933001139013,0.21913263148519693,0.08839907690760034
2019-20,2019-08-17,Sport-Club Freiburg,1. FSV Mainz 05,3,0,home_win,0.3976762991510986,0.2896617102649683,0.312661990583933,1-1,"[{""score"": ""1-1"", ""probability"": 0.137206}, {""score"": ""2-1"", ""probability"": 0.088885}, {""score"": ""0-0"", ""probability"": 0.077934}, {""score"": ""1-2"", ""probability"": 0.077831}, {""score"": ""1-0"", ""probability"": 0.066951}, {""score"": ""2-0"", ""probability"": 0.066629}, {""score"": ""2-2"", ""probability"": 0.059287}, {""score"": ""0-1"", ""probability"": 0.056074}, {""score"": ""0-2"", ""probability"": 0.051088}, {""score"": ""3-1"", ""probability"": 0.045138}]",1.5234718915549434,1.3340206127727123,-0.17584651338689306,0.39665675178899257,0.2368391791691499,0.36650406904185756,0.44894511911591933,0.050000000000000155,0.5010548808840806,0.30241925712695855,0.26610596028203526,0.4314747825910061,1-1,0.9221169233366416,0.5444552673538507,0.23027568048011207,0.9246839773469988,0.5544411045755647,0.24917415389302405,0.8008546278509644,0.5572174754039286,0.2773587377019643,1.1959409557289142,0.7436017629368844,0.3363946904196301
2019-20,2019-08-17,Bayer 04 Leverkusen,SC Paderborn 07,3,2,home_win,0.7775653508745327,0.1543440876198218,0.06809056150564537,2-0,"[{""score"": ""2-0"", ""probability"": 0.108519}, {""score"": ""3-0"", ""probability"": 0.101089}, {""score"": ""2-1"", ""probability"": 0.085824}, {""score"": ""3-1"", ""probability"": 0.079948}, {""score"": ""1-1"", ""probability"": 0.072222}, {""score"": ""4-0"", ""probability"": 0.070626}, {""score"": ""1-0"", ""probability"": 0.066862}, {""score"": ""4-1"", ""probability"": 0.055856}, {""score"": ""5-0"", ""probability"": 0.039474}, {""score"": ""0-0"", ""probability"": 0.038591}]",2.7946050197662773,0.7908650665657171,-0.17584651338689306,0.6248098290819158,0.1957052954716083,0.17948487544647587,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6925833697965449,0.18457430574859263,0.12284232445486262,2-0,0.2515875858892211,0.07793559508091905,0.027056748848861886,0.4703079490152344,0.21128304754320767,0.08649124243378908,1.0986122886681098,0.6666666666666667,0.2777777777777778,0.36732665856899077,0.14366289554569656,0.05479761060156084
2019-20,2019-08-17,SV Werder Bremen,Fortuna Dusseldorf,1,3,away_win,0.5861379842194049,0.22972155890692714,0.18414045687366792,1-1,"[{""score"": ""1-1"", ""probability"": 0.102701}, {""score"": ""2-1"", ""probability"": 0.096702}, {""score"": ""2-0"", ""probability"": 0.080046}, {""score"": ""3-1"", ""probability"": 0.071376}, {""score"": ""3-0"", ""probability"": 0.059082}, {""score"": ""2-2"", ""probability"": 0.058411}, {""score"": ""1-0"", ""probability"": 0.05694}, {""score"": ""1-2"", ""probability"": 0.052758}, {""score"": ""0-0"", ""probability"": 0.04801}, {""score"": ""3-2"", ""probability"": 0.043114}]",2.214308240309909,1.2080752015287508,-0.17584651338689306,0.5112685688738489,0.21569945867710694,0.27303197244904426,0.5010548808840807,0.050000000000000044,0.4489451191159193,0.45394630842511485,0.2213745903790226,0.3246791011958628,1-1,1.69205646000426,1.0619565252817234,0.5045922653275473,1.2981663754566624,0.8364043190732378,0.39493903129982033,0.8008546278509645,0.5572174754039287,0.27735873770196434,1.124917965369873,0.7111322765598973,0.33106278364720854
2019-20,2019-08-17,Wolfsburg,1. FC Köln,2,1,home_win,0.6251312396243642,0.22807237940217,0.14679638097346576,1-1,"[{""score"": ""1-1"", ""probability"": 0.10705}, {""score"": ""2-0"", ""probability"": 0.099057}, {""score"": ""2-1"", ""probability"": 0.098915}, {""score"": ""1-0"", ""probability"": 0.075162}, {""score"": ""3-0"", ""probability"": 0.07175}, {""score"": ""3-1"", ""probability"": 0.071647}, {""score"": ""0-0"", ""probability"": 0.057966}, {""score"": ""2-2"", ""probability"": 0.049386}, {""score"": ""1-2"", ""probability"": 0.045455}, {""score"": ""4-0"", ""probability"": 0.038978}]",2.1729826182498315,0.9985640441903734,-0.17584651338689306,0.5844405247375581,0.20271400200967304,0.2128454732527688,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.44190939475144186,0.2691857393437397,0.28890486590481856,1-1,0.4697936678901809,0.2140927752186401,0.08103788248623636,0.5371002573319004,0.25908583957536885,0.10899643648229557,1.0986122886681098,0.6666666666666667,0.2777777777777778,0.8166504071677385,0.4673921074762189,0.19746557260509165
2019-20,2019-08-17,Borussia Mönchengladbach,FC Schalke 04,0,0,draw,0.4977334161857869,0.29728134043542487,0.20498524337878815,1-1,"[{""score"": ""1-1"", ""probability"": 0.141657}, {""score"": ""1-0"", ""probability"": 0.107969}, {""score"": ""0-0"", ""probability"": 0.10417}, {""score"": ""2-0"", ""probability"": 0.100504}, {""score"": ""2-1"", ""probability"": 0.093749}, {""score"": ""0-1"", ""probability"": 0.056222}, {""score"": ""1-2"", ""probability"": 0.056187}, {""score"": ""3-0"", ""probability"": 0.05214}, {""score"": ""3-1"", ""probability"": 0.048635}, {""score"": ""2-2"", ""probability"": 0.043724}]",1.556352061889381,0.932781757074965,-0.17584651338689306,0.5119163310358708,0.2155828390287574,0.2725008299353718,0.5779453698696684,0.050000000000000044,0.3720546301303316,0.41433679026092984,0.2698451723656986,0.31581803737337155,1-1,1.2130763143671488,0.7835710180912681,0.1448787517955174,1.5344100394568223,0.9516253147228779,0.1681575161483468,2.99573227355399,1.3749454983552056,0.2362227491776028,1.309906920143482,0.8045420808117745,0.13570800424704904
2019-20,2019-08-18,Eintracht Frankfurt,TSG Hoffenheim,1,0,home_win,0.3814868822769125,0.26442458985005995,0.35408852787302747,1-1,"[{""score"": ""1-1"", ""probability"": 0.11713}, {""score"": ""2-1"", ""probability"": 0.084293}, {""score"": ""1-2"", ""probability"": 0.081044}, {""score"": ""2-2"", ""probability"": 0.068579}, {""score"": ""0-0"", ""probability"": 0.05369}, {""score"": ""2-0"", ""probability"": 0.051804}, {""score"": ""0-2"", ""probability"": 0.047887}, {""score"": ""3-1"", ""probability"": 0.047553}, {""score"": ""1-3"", ""probability"": 0.043957}, {""score"": ""1-0"", ""probability"": 0.043703}]",1.6924054283193222,1.6271592778817272,-0.17584651338689306,0.4256778908611824,0.23138774803117307,0.3429343611076446,0.5010548808840807,0.050000000000000044,0.4489451191159193,0.3024964496120868,0.24243760046243396,0.4550659499254791,1-1,0.963678813444038,0.577857526084194,0.25396858118341076,0.8540723434582657,0.5009901510129059,0.22372493053698417,0.6910396412138381,0.4529979518676059,0.22524897593380294,1.1956857383996655,0.7523722117033056,0.34679811079266126
2019-20,2019-08-18,1. FC Union Berlin,RB Leipzig,0,4,away_win,0.22554606127321164,0.3026337724875915,0.4718201662391967,1-1,"[{""score"": ""1-1"", ""probability"": 0.144434}, {""score"": ""0-0"", ""probability"": 0.104381}, {""score"": ""0-1"", ""probability"": 0.103141}, {""score"": ""0-2"", ""probability"": 0.093984}, {""score"": ""1-2"", ""probability"": 0.092547}, {""score"": ""2-1"", ""probability"": 0.060478}, {""score"": ""1-0"", ""probability"": 0.059916}, {""score"": ""0-3"", ""probability"": 0.047207}, {""score"": ""1-3"", ""probability"": 0.046485}, {""score"": ""2-2"", ""probability"": 0.045566}]",0.9847151651031393,1.5068659889670206,-0.17584651338689306,0.3658780899492327,0.2366932776537535,0.39742863239701376,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24688876818458083,0.24799626786800696,0.5051149639474122,1-1,0.7511573697274597,0.4214321627975204,0.1649224812737246,0.9227399021467784,0.5529827374463089,0.24847951487991604,1.0986122886681098,0.6666666666666667,0.27777777777777785,0.6829692242344066,0.3673674116409311,0.15293263138223542
2019-20,2019-08-23,1. FC Köln,Borussia Dortmund,1,3,away_win,0.17992961631770568,0.2263995181091211,0.5936708655731732,1-1,"[{""score"": ""1-1"", ""probability"": 0.100754}, {""score"": ""1-2"", ""probability"": 0.096377}, {""score"": ""0-2"", ""probability"": 0.079867}, {""score"": ""1-3"", ""probability"": 0.072267}, {""score"": ""0-3"", ""probability"": 0.059888}, {""score"": ""2-2"", ""probability"": 0.058149}, {""score"": ""0-1"", ""probability"": 0.055941}, {""score"": ""2-1"", ""probability"": 0.051699}, {""score"": ""0-0"", ""probability"": 0.046633}, {""score"": ""2-3"", ""probability"": 0.043603}]",1.206708575619682,2.24952531285774,-0.17584651338689306,0.2459624544656389,0.20980274543765484,0.5442348000967062,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.17847624266039924,0.21882141269916214,0.6027023446404385,0-1,0.5214302115503816,0.24873477411233333,0.09873901615614555,0.6083745074215463,0.31223663844282823,0.13410972322482542,1.0986122886681098,0.6666666666666667,0.27777777777777785,0.5063318282726675,0.23758200680403568,0.09484959807418934
