outcome_class,raw_probability,calibrated_probability
home_win,0.0,0.0
home_win,0.05,0.0909
home_win,0.1,0.1406
home_win,0.15,0.1406
home_win,0.2,0.2162
home_win,0.25,0.3134
home_win,0.3,0.3214
home_win,0.35,0.4113
home_win,0.4,0.4113
home_win,0.45,0.4113
home_win,0.5,0.5
home_win,0.55,0.5
home_win,0.6,0.6051
home_win,0.65,0.6186
home_win,0.7,0.6804
home_win,0.75,0.7407
home_win,0.8,0.7407
home_win,0.85,0.7593
home_win,0.9,0.9149
home_win,0.95,0.9149
home_win,1.0,1.0
draw,0.0,0.0
draw,0.05,0.0972
draw,0.1,0.1176
draw,0.15,0.1889
draw,0.2,0.1914
draw,0.25,0.2599
draw,0.3,0.2873
draw,0.35,0.2917
draw,0.4,0.5
draw,0.45,0.5
draw,0.5,0.5
draw,0.55,0.5
draw,0.6,0.5
draw,0.65,0.5
draw,0.7,0.5
draw,0.75,0.5
draw,0.8,0.5
draw,0.85,0.5
draw,0.9,0.5
draw,0.95,0.5
draw,1.0,0.5
away_win,0.0,0.0
away_win,0.05,0.1024
away_win,0.1,0.1258
away_win,0.15,0.1786
away_win,0.2,0.1786
away_win,0.25,0.2636
away_win,0.3,0.3333
away_win,0.35,0.3463
away_win,0.4,0.3654
away_win,0.45,0.4286
away_win,0.5,0.5
away_win,0.55,0.5
away_win,0.6,0.5106
away_win,0.65,0.6826
away_win,0.7,0.6826
away_win,0.75,0.6826
away_win,0.8,0.7551
away_win,0.85,0.7551
away_win,0.9,0.7551
away_win,0.95,1.0
away_win,1.0,1.0
