team,matchweek,attack_strength_mean,attack_strength_p05,attack_strength_p95,defense_strength_mean,defense_strength_p05,defense_strength_p95,home_strength_mean,away_strength_mean,uncertainty_score,is_promoted_team,model_version,generated_at
AFC Bournemouth,0,0.2346,0.0075,0.4616,0.0114,-0.225,0.2477,0.4015,0.2232,0.9268,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Arsenal,0,0.4043,0.2048,0.6039,0.4401,0.1316,0.7486,0.1426,-0.0357,1.0161,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Aston Villa,0,0.2587,0.0376,0.4798,0.0283,-0.2083,0.2648,0.4087,0.2304,0.9154,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Brentford,0,0.2467,0.0228,0.4707,-0.0121,-0.2439,0.2196,0.4372,0.2588,0.9114,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Brighton & Hove Albion,0,0.2118,-0.0152,0.4388,0.0332,-0.2041,0.2704,0.357,0.1787,0.9286,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Burnley,0,-0.0699,-0.3934,0.2536,-0.2566,-0.487,-0.0263,0.3651,0.1868,1.1077,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Cardiff City,0,-0.0221,-3.1271,3.0829,-0.0373,-3.1044,3.0298,0.1935,0.0152,12.3442,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Chelsea,0,0.2581,0.037,0.4791,0.0205,-0.2147,0.2558,0.4158,0.2375,0.9125,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Coventry City,0,-0.0792,-3.3902,3.2318,-0.0792,-3.3902,3.2318,0.1783,0.0,13.2439,True,0.1.0-phase1,2026-08-18T17:45:06+00:00
Crystal Palace,0,0.0675,-0.1812,0.3163,0.0007,-0.2296,0.2311,0.2451,0.0668,0.9582,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Everton,0,0.0517,-0.1993,0.3027,0.0632,-0.1767,0.3031,0.1669,-0.0114,0.9818,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Fulham,0,0.107,-0.1381,0.3521,0.0227,-0.214,0.2594,0.2626,0.0843,0.9636,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Huddersfield Town,0,-0.0606,-3.1071,2.9859,-0.0605,-3.0377,2.9166,0.1783,-0.0,12.0471,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Hull City,0,-0.0811,-3.3513,3.1891,-0.086,-3.352,3.1801,0.1832,0.0049,13.0724,True,0.1.0-phase1,2026-08-18T17:45:06+00:00
Ipswich Town,0,-0.1606,-0.7325,0.4113,-0.2844,-0.6621,0.0933,0.3021,0.1237,1.8992,True,0.1.0-phase1,2026-08-18T17:45:06+00:00
Leeds United,0,0.1387,-0.156,0.4333,-0.0371,-0.3139,0.2398,0.354,0.1757,1.143,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Leicester City,0,-0.1462,-0.6559,0.3635,-0.2829,-0.6378,0.0721,0.315,0.1367,1.7292,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Liverpool,0,0.4148,0.2149,0.6147,0.0463,-0.1949,0.2876,0.5468,0.3685,0.8824,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Luton Town,0,0.1532,-0.5953,0.9018,-0.38,-0.9692,0.2091,0.7116,0.5333,2.6755,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Manchester City,0,0.4769,0.2855,0.6682,0.2884,0.0078,0.5691,0.3667,0.1884,0.9439,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Manchester United,0,0.2996,0.0845,0.5148,0.0349,-0.2031,0.2729,0.4431,0.2647,0.9062,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Middlesbrough,0,-0.0066,-3.2822,3.2689,-0.0028,-3.2746,3.2689,0.1745,-0.0038,13.0946,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Newcastle United,0,0.288,0.0708,0.5052,-0.017,-0.2475,0.2134,0.4834,0.3051,0.8953,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Norwich City,0,-0.3264,-2.2715,1.6187,-0.3382,-1.7027,1.0263,0.1901,0.0118,6.6193,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Nottingham Forest,0,0.1665,-0.0703,0.4033,0.0347,-0.205,0.2744,0.3101,0.1318,0.9529,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Queens Park Rangers,0,-0.0001,-3.3056,3.3055,-0.0014,-3.3061,3.3034,0.1796,0.0013,13.2207,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Sheffield United,0,-0.1632,-1.0325,0.7061,-0.4932,-1.0204,0.034,0.5083,0.33,2.793,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Southampton,0,-0.3084,-0.8757,0.2589,-0.3555,-0.6946,-0.0164,0.2254,0.0471,1.8127,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Stoke City,0,-0.0108,-3.1855,3.164,-0.0172,-3.1743,3.1399,0.1847,0.0064,12.6637,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Sunderland,0,0.0211,-0.3106,0.3529,0.0674,-0.2397,0.3744,0.1321,-0.0462,1.2777,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Swansea City,0,-0.0146,-3.1901,3.1608,-0.0126,-3.1697,3.1445,0.1763,-0.0021,12.6652,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Tottenham Hotspur,0,0.1839,-0.0486,0.4164,-0.107,-0.3243,0.1104,0.4692,0.2909,0.8997,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Watford,0,-0.1643,-1.9307,1.602,-0.2693,-1.6379,1.0993,0.2833,0.105,6.2698,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
West Bromwich Albion,0,-0.0864,-2.4449,2.272,-0.1832,-2.267,1.9005,0.2751,0.0968,8.8843,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
West Ham United,0,0.104,-0.1404,0.3484,-0.128,-0.3419,0.0859,0.4103,0.232,0.9166,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
Wolverhampton Wanderers,0,-0.1274,-0.4095,0.1548,-0.156,-0.3657,0.0537,0.207,0.0286,0.9838,False,0.1.0-phase1,2026-08-18T17:45:06+00:00
