team,expected_position,median_position,position_5th_percentile,position_25th_percentile,position_75th_percentile,position_95th_percentile,expected_points,points_5th_percentile,points_25th_percentile,median_points,points_75th_percentile,points_95th_percentile,expected_wins,expected_draws,expected_losses,expected_goals_for,expected_goals_against,expected_goal_difference,title_probability,top_4_probability,top_5_probability,top_half_probability,relegation_probability,most_likely_finish,model_version,generated_at
Arsenal,1.725,1,1,1,2,3,78.97,67.0,74.0,79.0,84.0,91.0,23.36,8.91,5.74,71.79,29.81,41.98,0.5032,0.97886,0.99054,0.99968,0.0,1,0.1.0-phase1,2026-08-17T23:49:59+00:00
Manchester City,1.866,2,1,1,2,4,77.91,66.0,73.0,78.0,83.0,90.0,23.17,8.4,6.43,78.0,35.76,42.23,0.43304,0.97094,0.98534,0.99944,0.0,1,0.1.0-phase1,2026-08-17T23:49:59+00:00
Liverpool,4.619,4,2,3,6,10,65.78,53.0,61.0,66.0,71.0,78.0,18.95,8.93,10.12,71.35,48.7,22.64,0.03989,0.61686,0.73022,0.95426,0.00016,3,0.1.0-phase1,2026-08-17T23:49:59+00:00
Manchester United,7.123,6,3,4,9,14,59.46,47.0,54.0,59.0,65.0,72.0,16.62,9.59,11.79,61.84,49.86,11.97,0.00704,0.28511,0.40632,0.81196,0.00254,4,0.1.0-phase1,2026-08-17T23:49:59+00:00
Aston Villa,8.225,8,3,5,11,15,57.13,45.0,52.0,57.0,62.0,70.0,15.78,9.78,12.44,58.74,50.45,8.29,0.00347,0.18949,0.29147,0.71994,0.00562,5,0.1.0-phase1,2026-08-17T23:49:59+00:00
Chelsea,8.385,8,3,5,11,15,56.8,44.0,52.0,57.0,62.0,70.0,15.68,9.75,12.56,58.68,50.92,7.76,0.00322,0.17826,0.27693,0.70566,0.00628,5,0.1.0-phase1,2026-08-17T23:49:59+00:00
Newcastle United,8.457,8,3,5,11,15,56.64,44.0,51.0,57.0,62.0,69.0,15.71,9.5,12.78,60.74,53.27,7.47,0.0032,0.1739,0.2702,0.69858,0.00637,6,0.1.0-phase1,2026-08-17T23:49:59+00:00
AFC Bournemouth,9.159,9,3,6,12,16,55.25,43.0,50.0,55.0,60.0,68.0,15.14,9.84,13.02,56.94,51.61,5.33,0.00191,0.13141,0.2137,0.6314,0.01009,7,0.1.0-phase1,2026-08-17T23:49:59+00:00
Brighton & Hove Albion,9.248,9,3,6,12,16,55.07,43.0,50.0,55.0,60.0,68.0,15.02,10.01,12.97,55.43,50.32,5.11,0.00166,0.12573,0.20581,0.62352,0.01037,7,0.1.0-phase1,2026-08-17T23:49:59+00:00
Brentford,9.364,9,3,6,12,16,54.83,42.0,50.0,55.0,60.0,68.0,15.04,9.71,13.25,57.71,53.09,4.61,0.00167,0.12066,0.19808,0.61119,0.01132,7,0.1.0-phase1,2026-08-17T23:49:59+00:00
Nottingham Forest,10.284,10,4,7,13,17,53.05,41.0,48.0,53.0,58.0,66.0,14.28,10.21,13.51,52.4,50.34,2.06,0.00088,0.08042,0.13939,0.5182,0.01888,10,0.1.0-phase1,2026-08-17T23:49:59+00:00
Fulham,11.901,12,5,9,15,17,49.89,38.0,45.0,50.0,55.0,62.0,13.17,10.39,14.45,48.61,51.31,-2.7,0.00024,0.03588,0.06853,0.35225,0.04394,15,0.1.0-phase1,2026-08-17T23:49:59+00:00
Everton,12.28,13,5,10,15,18,49.13,37.0,44.0,49.0,54.0,62.0,12.79,10.75,14.45,45.48,48.93,-3.46,0.00018,0.02857,0.05628,0.31556,0.05256,16,0.1.0-phase1,2026-08-17T23:49:59+00:00
Leeds United,12.472,13,5,10,16,18,48.76,36.0,44.0,49.0,54.0,61.0,12.92,10.01,15.07,50.37,55.17,-4.8,0.00016,0.02684,0.05172,0.29794,0.05954,16,0.1.0-phase1,2026-08-17T23:49:59+00:00
Sunderland,12.834,13,6,10,16,18,48.01,36.0,43.0,48.0,53.0,60.0,12.38,10.88,14.74,43.77,48.74,-4.98,9e-05,0.02035,0.04124,0.26404,0.06898,16,0.1.0-phase1,2026-08-17T23:49:59+00:00
Tottenham Hotspur,12.969,14,6,10,16,18,47.74,35.0,43.0,48.0,53.0,60.0,12.73,9.55,15.72,53.03,60.0,-6.98,0.00011,0.02016,0.03972,0.25456,0.07707,17,0.1.0-phase1,2026-08-17T23:49:59+00:00
Crystal Palace,13.188,14,6,11,16,18,47.28,35.0,42.0,47.0,52.0,60.0,12.29,10.4,15.31,46.22,52.84,-6.62,4e-05,0.01648,0.03428,0.233,0.08285,17,0.1.0-phase1,2026-08-17T23:49:59+00:00
Coventry City,17.912,18,15,18,19,19,33.54,23.0,29.0,33.0,38.0,45.0,7.93,9.75,20.32,35.27,63.68,-28.41,0.0,6e-05,0.00014,0.00486,0.75773,19,0.1.0-phase1,2026-08-17T23:49:59+00:00
Hull City,18.034,18,15,18,19,19,32.95,22.0,28.0,33.0,37.0,44.0,7.77,9.65,20.59,35.08,64.63,-29.55,0.0,2e-05,8e-05,0.00398,0.78606,19,0.1.0-phase1,2026-08-17T23:49:59+00:00
Ipswich Town,19.953,20,20,20,20,20,15.79,8.0,12.0,15.0,19.0,25.0,3.26,6.02,28.73,28.36,100.33,-71.97,0.0,0.0,0.0,0.0,0.99965,20,0.1.0-phase1,2026-08-17T23:49:59+00:00
