team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
AFC Bournemouth,0.00074,0.00457,0.02162,0.04754,0.06187,0.0702,0.07682,0.07896,0.08138,0.08194,0.08034,0.07861,0.07579,0.07071,0.0642,0.05577,0.04109,0.00774,0.0001,0.0
Arsenal,0.40741,0.38198,0.13865,0.04176,0.01599,0.00718,0.0037,0.00162,0.00083,0.00044,0.00021,0.00011,7e-05,3e-05,3e-05,0.0,0.0,0.0,0.0,0.0
Aston Villa,0.00286,0.01435,0.05379,0.0973,0.10577,0.10228,0.09679,0.08936,0.0803,0.07261,0.06445,0.05585,0.04905,0.04022,0.03269,0.02459,0.01556,0.00218,2e-05,0.0
Brentford,0.00128,0.00746,0.03266,0.06484,0.07972,0.08538,0.08648,0.08677,0.0846,0.07999,0.07563,0.0707,0.0642,0.05838,0.04962,0.04012,0.02775,0.00438,4e-05,0.0
Brighton & Hove Albion,0.00117,0.0075,0.03176,0.06414,0.07836,0.08438,0.08604,0.08652,0.08439,0.0816,0.0775,0.07036,0.06497,0.0581,0.04991,0.04044,0.02836,0.00444,6e-05,0.0
Chelsea,0.00524,0.02298,0.07968,0.12797,0.12364,0.11218,0.09698,0.08427,0.07378,0.06284,0.05344,0.04394,0.03664,0.02899,0.02189,0.01556,0.00881,0.00118,0.0,0.0
Coventry City,0.0,0.0,0.0,1e-05,2e-05,6e-05,0.00016,0.00026,0.00046,0.00086,0.00146,0.00275,0.00481,0.00927,0.01792,0.03924,0.11431,0.71612,0.07849,0.0138
Crystal Palace,0.0001,0.00078,0.00488,0.0136,0.02188,0.0291,0.03766,0.04622,0.0544,0.06256,0.07272,0.08144,0.09054,0.10132,0.11006,0.12105,0.12281,0.02831,0.00053,1e-05
Everton,0.00012,0.00074,0.00437,0.01272,0.02086,0.02853,0.03673,0.0446,0.05296,0.06242,0.07056,0.08115,0.09315,0.10114,0.11322,0.1213,0.1256,0.02918,0.00061,4e-05
Fulham,0.00019,0.00174,0.00888,0.02257,0.03332,0.04326,0.05137,0.05901,0.06651,0.0736,0.08056,0.08533,0.08932,0.0936,0.09424,0.09418,0.08434,0.01762,0.00034,1e-05
Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,3e-05,0.00025,0.0018,0.05417,0.50425,0.43948
Ipswich Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,3e-05,0.00016,0.00108,0.03851,0.41362,0.54659
Leeds United,5e-05,0.0004,0.00308,0.00857,0.01482,0.02131,0.02823,0.03649,0.043,0.05287,0.06192,0.07398,0.08601,0.10081,0.11945,0.13944,0.16519,0.04334,0.001,4e-05
Liverpool,0.07338,0.17905,0.34077,0.16136,0.08975,0.0545,0.03486,0.02306,0.01561,0.01024,0.00665,0.00452,0.00285,0.00174,0.00092,0.00049,0.00023,2e-05,0.0,0.0
Manchester City,0.49903,0.33498,0.11279,0.0324,0.01132,0.00489,0.00237,0.00105,0.00065,0.00024,0.00015,8e-05,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
Manchester United,0.00386,0.01904,0.06812,0.11639,0.11606,0.10892,0.09897,0.08776,0.07602,0.06668,0.05662,0.0493,0.04067,0.03319,0.02652,0.01931,0.01114,0.00142,0.0,0.0
Newcastle United,0.00371,0.01818,0.0659,0.11133,0.1146,0.10773,0.09689,0.088,0.07882,0.06757,0.0593,0.05078,0.04224,0.03409,0.02754,0.01979,0.01212,0.00141,0.0,0.0
Nottingham Forest,0.00042,0.00277,0.01408,0.03211,0.04545,0.05521,0.06317,0.07034,0.07602,0.07959,0.08223,0.08401,0.08481,0.08262,0.08002,0.07445,0.06116,0.01134,0.00019,0.0
Sunderland,0.00011,0.00086,0.00521,0.01426,0.02213,0.03106,0.04046,0.04752,0.05661,0.0649,0.07491,0.08306,0.0902,0.10116,0.10972,0.11674,0.11473,0.02578,0.00056,2e-05
Tottenham Hotspur,0.00033,0.00261,0.01375,0.03112,0.04444,0.05382,0.06232,0.06818,0.07368,0.07906,0.08134,0.08403,0.08463,0.08461,0.08199,0.07711,0.06392,0.01285,0.00019,1e-05
