team,relegation_probability,expected_points,expected_position
Ipswich Town,0.99965,15.79,19.953
Hull City,0.78606,32.95,18.034
Coventry City,0.75773,33.54,17.912
Crystal Palace,0.08285,47.28,13.188
Tottenham Hotspur,0.07707,47.74,12.969
Sunderland,0.06898,48.01,12.834
Leeds United,0.05954,48.76,12.472
Everton,0.05256,49.13,12.28
Fulham,0.04394,49.89,11.901
Nottingham Forest,0.01888,53.05,10.284
Brentford,0.01132,54.83,9.364
Brighton & Hove Albion,0.01037,55.07,9.248
AFC Bournemouth,0.01009,55.25,9.159
Newcastle United,0.00637,56.64,8.457
Chelsea,0.00628,56.8,8.385
Aston Villa,0.00562,57.13,8.225
Manchester United,0.00254,59.46,7.123
Liverpool,0.00016,65.78,4.619
Manchester City,0.0,77.91,1.866
Arsenal,0.0,78.97,1.725
