matchweek,horizon_bucket,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
4,0-2,home_win,0.0,0.1,0,,,2026-09-15T02:23:33+00:00
4,0-2,home_win,0.1,0.2,1,0.1598,1.0,2026-09-15T02:23:33+00:00
4,0-2,home_win,0.2,0.3,1,0.2322,1.0,2026-09-15T02:23:33+00:00
4,0-2,home_win,0.3,0.4,0,,,2026-09-15T02:23:33+00:00
4,0-2,home_win,0.4,0.5,3,0.4313,0.6667,2026-09-15T02:23:33+00:00
4,0-2,home_win,0.5,0.6,0,,,2026-09-15T02:23:33+00:00
4,0-2,home_win,0.6,0.7,0,,,2026-09-15T02:23:33+00:00
4,0-2,home_win,0.7,0.8,1,0.7678,1.0,2026-09-15T02:23:33+00:00
4,0-2,home_win,0.8,0.9,0,,,2026-09-15T02:23:33+00:00
4,0-2,home_win,0.9,1.0,0,,,2026-09-15T02:23:33+00:00
4,0-2,draw,0.0,0.1,0,,,2026-09-15T02:23:33+00:00
4,0-2,draw,0.1,0.2,1,0.1561,0.0,2026-09-15T02:23:33+00:00
4,0-2,draw,0.2,0.3,5,0.2651,0.0,2026-09-15T02:23:33+00:00
4,0-2,draw,0.3,0.4,0,,,2026-09-15T02:23:33+00:00
4,0-2,draw,0.4,0.5,0,,,2026-09-15T02:23:33+00:00
4,0-2,draw,0.5,0.6,0,,,2026-09-15T02:23:33+00:00
4,0-2,draw,0.6,0.7,0,,,2026-09-15T02:23:33+00:00
4,0-2,draw,0.7,0.8,0,,,2026-09-15T02:23:33+00:00
4,0-2,draw,0.8,0.9,0,,,2026-09-15T02:23:33+00:00
4,0-2,draw,0.9,1.0,0,,,2026-09-15T02:23:33+00:00
4,0-2,away_win,0.0,0.1,1,0.0761,0.0,2026-09-15T02:23:33+00:00
4,0-2,away_win,0.1,0.2,0,,,2026-09-15T02:23:33+00:00
4,0-2,away_win,0.2,0.3,2,0.2903,0.5,2026-09-15T02:23:33+00:00
4,0-2,away_win,0.3,0.4,1,0.3008,0.0,2026-09-15T02:23:33+00:00
