matchweek,track,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
1,operational,home_win,0.0,0.1,0,,,2026-08-25T19:05:22+00:00
1,operational,home_win,0.1,0.2,1,0.1598,1.0,2026-08-25T19:05:22+00:00
1,operational,home_win,0.2,0.3,1,0.2322,1.0,2026-08-25T19:05:22+00:00
1,operational,home_win,0.3,0.4,2,0.3225,0.0,2026-08-25T19:05:22+00:00
1,operational,home_win,0.4,0.5,4,0.4277,0.75,2026-08-25T19:05:22+00:00
1,operational,home_win,0.5,0.6,0,,,2026-08-25T19:05:22+00:00
1,operational,home_win,0.6,0.7,1,0.6184,1.0,2026-08-25T19:05:22+00:00
1,operational,home_win,0.7,0.8,1,0.7678,1.0,2026-08-25T19:05:22+00:00
1,operational,home_win,0.8,0.9,0,,,2026-08-25T19:05:22+00:00
1,operational,home_win,0.9,1.0,0,,,2026-08-25T19:05:22+00:00
1,operational,draw,0.0,0.1,0,,,2026-08-25T19:05:22+00:00
1,operational,draw,0.1,0.2,1,0.1561,0.0,2026-08-25T19:05:22+00:00
1,operational,draw,0.2,0.3,9,0.2576,0.1111,2026-08-25T19:05:22+00:00
1,operational,draw,0.3,0.4,0,,,2026-08-25T19:05:22+00:00
1,operational,draw,0.4,0.5,0,,,2026-08-25T19:05:22+00:00
1,operational,draw,0.5,0.6,0,,,2026-08-25T19:05:22+00:00
1,operational,draw,0.6,0.7,0,,,2026-08-25T19:05:22+00:00
1,operational,draw,0.7,0.8,0,,,2026-08-25T19:05:22+00:00
1,operational,draw,0.8,0.9,0,,,2026-08-25T19:05:22+00:00
1,operational,draw,0.9,1.0,0,,,2026-08-25T19:05:22+00:00
1,operational,away_win,0.0,0.1,1,0.0761,0.0,2026-08-25T19:05:22+00:00
1,operational,away_win,0.1,0.2,1,0.1649,0.0,2026-08-25T19:05:22+00:00
1,operational,away_win,0.2,0.3,2,0.2903,0.5,2026-08-25T19:05:22+00:00
1,operational,away_win,0.3,0.4,2,0.312,0.0,2026-08-25T19:05:22+00:00
1,operational,away_win,0.4,0.5,3,0.4455,0.3333,2026-08-25T19:05:22+00:00
1,operational,away_win,0.5,0.6,0,,,2026-08-25T19:05:22+00:00
1,operational,away_win,0.6,0.7,1,0.6102,0.0,2026-08-25T19:05:22+00:00
1,operational,away_win,0.7,0.8,0,,,2026-08-25T19:05:22+00:00
1,operational,away_win,0.8,0.9,0,,,2026-08-25T19:05:22+00:00
1,operational,away_win,0.9,1.0,0,,,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.0,0.1,0,,,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.1,0.2,1,0.1385,1.0,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.2,0.3,1,0.2215,1.0,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.3,0.4,2,0.3952,0.0,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.4,0.5,4,0.4382,0.75,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.5,0.6,1,0.591,1.0,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.6,0.7,0,,,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.7,0.8,1,0.7177,1.0,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.8,0.9,0,,,2026-08-25T19:05:22+00:00
1,preseason,home_win,0.9,1.0,0,,,2026-08-25T19:05:22+00:00
1,preseason,draw,0.0,0.1,0,,,2026-08-25T19:05:22+00:00
1,preseason,draw,0.1,0.2,1,0.183,0.0,2026-08-25T19:05:22+00:00
1,preseason,draw,0.2,0.3,9,0.2614,0.1111,2026-08-25T19:05:22+00:00
1,preseason,draw,0.3,0.4,0,,,2026-08-25T19:05:22+00:00
1,preseason,draw,0.4,0.5,0,,,2026-08-25T19:05:22+00:00
1,preseason,draw,0.5,0.6,0,,,2026-08-25T19:05:22+00:00
1,preseason,draw,0.6,0.7,0,,,2026-08-25T19:05:22+00:00
1,preseason,draw,0.7,0.8,0,,,2026-08-25T19:05:22+00:00
1,preseason,draw,0.8,0.9,0,,,2026-08-25T19:05:22+00:00
1,preseason,draw,0.9,1.0,0,,,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.0,0.1,1,0.0993,0.0,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.1,0.2,1,0.1706,0.0,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.2,0.3,3,0.2767,0.3333,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.3,0.4,3,0.3414,0.3333,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.4,0.5,0,,,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.5,0.6,1,0.5123,0.0,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.6,0.7,1,0.6157,0.0,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.7,0.8,0,,,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.8,0.9,0,,,2026-08-25T19:05:22+00:00
1,preseason,away_win,0.9,1.0,0,,,2026-08-25T19:05:22+00:00
