outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency
home_win,0.0,0.1,110,0.0663,0.1182
home_win,0.1,0.2,280,0.1548,0.1679
home_win,0.2,0.3,406,0.2525,0.2882
home_win,0.3,0.4,452,0.3527,0.3982
home_win,0.4,0.5,450,0.4496,0.4111
home_win,0.5,0.6,338,0.5479,0.5503
home_win,0.6,0.7,298,0.6493,0.604
home_win,0.7,0.8,189,0.7484,0.7143
home_win,0.8,0.9,100,0.8431,0.78
home_win,0.9,1.0,37,0.9265,0.9189
draw,0.0,0.1,88,0.0711,0.1023
draw,0.1,0.2,564,0.1633,0.1738
draw,0.2,0.3,1865,0.247,0.2595
draw,0.3,0.4,141,0.3209,0.2624
draw,0.4,0.5,2,0.433,0.5
draw,0.5,0.6,0,,
draw,0.6,0.7,0,,
draw,0.7,0.8,0,,
draw,0.8,0.9,0,,
draw,0.9,1.0,0,,
away_win,0.0,0.1,279,0.0621,0.0896
away_win,0.1,0.2,456,0.1515,0.1623
away_win,0.2,0.3,538,0.2512,0.2621
away_win,0.3,0.4,478,0.35,0.3494
away_win,0.4,0.5,345,0.4501,0.4087
away_win,0.5,0.6,262,0.547,0.5
away_win,0.6,0.7,166,0.6453,0.6325
away_win,0.7,0.8,86,0.7439,0.6279
away_win,0.8,0.9,44,0.8452,0.7727
away_win,0.9,1.0,6,0.9172,0.6667
