matchweek,team,title_probability,top_4_probability,relegation_probability,expected_points,generated_at
1,Arsenal,0.44961,0.91678,4e-05,78.99,2026-08-25T19:05:22+00:00
1,Manchester City,0.39802,0.89842,7e-05,77.97,2026-08-25T19:05:22+00:00
1,Liverpool,0.05598,0.47252,0.00361,64.82,2026-08-25T19:05:22+00:00
1,Brighton & Hove Albion,0.01686,0.24196,0.01507,58.71,2026-08-25T19:05:22+00:00
1,Chelsea,0.01696,0.24471,0.0153,58.81,2026-08-25T19:05:22+00:00
1,Brentford,0.01312,0.20279,0.02062,57.38,2026-08-25T19:05:22+00:00
1,Manchester United,0.01102,0.19323,0.02288,56.93,2026-08-25T19:05:22+00:00
1,Newcastle United,0.00972,0.17097,0.0272,56.16,2026-08-25T19:05:22+00:00
1,AFC Bournemouth,0.0068,0.13719,0.03787,54.58,2026-08-25T19:05:22+00:00
1,Aston Villa,0.00506,0.11142,0.04744,53.46,2026-08-25T19:05:22+00:00
1,Leeds United,0.00589,0.10504,0.07514,51.95,2026-08-25T19:05:22+00:00
1,Everton,0.00336,0.08199,0.0608,51.71,2026-08-25T19:05:22+00:00
1,Nottingham Forest,0.0022,0.06586,0.08078,50.29,2026-08-25T19:05:22+00:00
1,Fulham,0.00135,0.04222,0.11888,47.96,2026-08-25T19:05:22+00:00
1,Tottenham Hotspur,0.00058,0.0245,0.17986,45.42,2026-08-25T19:05:22+00:00
1,Sunderland,0.00129,0.03529,0.212,44.89,2026-08-25T19:05:22+00:00
1,Crystal Palace,0.00056,0.0228,0.18208,45.14,2026-08-25T19:05:22+00:00
1,Hull City,0.00061,0.01221,0.60768,33.69,2026-08-25T19:05:22+00:00
1,Ipswich Town,0.00065,0.01146,0.61828,33.37,2026-08-25T19:05:22+00:00
1,Coventry City,0.00036,0.00863,0.67441,31.19,2026-08-25T19:05:22+00:00
2,Arsenal,0.4691,0.94189,0.0,80.61,2026-09-01T10:36:49+00:00
2,Manchester City,0.42371,0.93014,3e-05,79.67,2026-09-01T10:36:49+00:00
2,Liverpool,0.032,0.41137,0.00446,63.37,2026-09-01T10:36:49+00:00
2,Chelsea,0.01714,0.29292,0.0095,60.53,2026-09-01T10:36:49+00:00
2,Newcastle United,0.01123,0.23021,0.01408,58.58,2026-09-01T10:36:49+00:00
2,Manchester United,0.01054,0.21582,0.01649,57.95,2026-09-01T10:36:49+00:00
2,Brighton & Hove Albion,0.00794,0.18722,0.02014,57.01,2026-09-01T10:36:49+00:00
2,Brentford,0.00777,0.18333,0.0203,56.89,2026-09-01T10:36:49+00:00
2,AFC Bournemouth,0.0037,0.11335,0.04192,53.66,2026-09-01T10:36:49+00:00
2,Aston Villa,0.00223,0.0885,0.05577,52.29,2026-09-01T10:36:49+00:00
2,Everton,0.00198,0.07792,0.05686,51.7,2026-09-01T10:36:49+00:00
2,Leeds United,0.0035,0.09059,0.07682,51.45,2026-09-01T10:36:49+00:00
2,Nottingham Forest,0.00184,0.0689,0.06904,50.94,2026-09-01T10:36:49+00:00
2,Sunderland,0.00132,0.04524,0.1502,47.14,2026-09-01T10:36:49+00:00
2,Fulham,0.00045,0.02533,0.15398,46.04,2026-09-01T10:36:49+00:00
2,Crystal Palace,0.00021,0.01315,0.23345,43.27,2026-09-01T10:36:49+00:00
2,Tottenham Hotspur,0.00016,0.01201,0.24441,42.97,2026-09-01T10:36:49+00:00
2,Hull City,0.00271,0.03241,0.54584,35.81,2026-09-01T10:36:49+00:00
2,Ipswich Town,0.00158,0.02339,0.60811,33.23,2026-09-01T10:36:49+00:00
2,Coventry City,0.00088,0.01631,0.6786,30.05,2026-09-01T10:36:49+00:00
