team,title_probability,expected_points,median_points
Arsenal,0.5032,78.97,79.0
Manchester City,0.43304,77.91,78.0
Liverpool,0.03989,65.78,66.0
Manchester United,0.00704,59.46,59.0
Aston Villa,0.00347,57.13,57.0
Chelsea,0.00322,56.8,57.0
Newcastle United,0.0032,56.64,57.0
AFC Bournemouth,0.00191,55.25,55.0
Brentford,0.00167,54.83,55.0
Brighton & Hove Albion,0.00166,55.07,55.0
Nottingham Forest,0.00088,53.05,53.0
Fulham,0.00024,49.89,50.0
Everton,0.00018,49.13,49.0
Leeds United,0.00016,48.76,49.0
Tottenham Hotspur,0.00011,47.74,48.0
Sunderland,9e-05,48.01,48.0
Crystal Palace,4e-05,47.28,47.0
Coventry City,0.0,33.54,33.0
Hull City,0.0,32.95,33.0
Ipswich Town,0.0,15.79,15.0
