outcome_class,raw_probability,calibrated_probability
home_win,0.0,0.0
home_win,0.05,0.0465
home_win,0.1,0.1538
home_win,0.15,0.2125
home_win,0.2,0.2301
home_win,0.25,0.2301
home_win,0.3,0.2917
home_win,0.35,0.3968
home_win,0.4,0.4181
home_win,0.45,0.4182
home_win,0.5,0.434
home_win,0.55,0.5413
home_win,0.6,0.6122
home_win,0.65,0.7619
home_win,0.7,0.7619
home_win,0.75,0.7619
home_win,0.8,0.7619
home_win,0.85,0.8167
home_win,0.9,0.8167
home_win,0.95,1.0
home_win,1.0,1.0
draw,0.0,0.0
draw,0.05,0.0
draw,0.1,0.1133
draw,0.15,0.1312
draw,0.2,0.2231
draw,0.25,0.264
draw,0.3,0.3197
draw,0.35,0.373
draw,0.4,0.5
draw,0.45,0.5
draw,0.5,0.5
draw,0.55,0.5
draw,0.6,0.5
draw,0.65,0.5
draw,0.7,0.5
draw,0.75,0.5
draw,0.8,0.5
draw,0.85,0.5
draw,0.9,0.5
draw,0.95,0.5
draw,1.0,0.5
away_win,0.0,0.0
away_win,0.05,0.0792
away_win,0.1,0.0792
away_win,0.15,0.1616
away_win,0.2,0.1616
away_win,0.25,0.2372
away_win,0.3,0.2372
away_win,0.35,0.3589
away_win,0.4,0.3589
away_win,0.45,0.4887
away_win,0.5,0.4887
away_win,0.55,0.4887
away_win,0.6,0.5291
away_win,0.65,0.5291
away_win,0.7,0.6923
away_win,0.75,0.7059
away_win,0.8,0.7059
away_win,0.85,0.7059
away_win,0.9,1.0
away_win,0.95,1.0
away_win,1.0,1.0
