team,matchweek,attack_strength_mean,attack_strength_p05,attack_strength_p95,defense_strength_mean,defense_strength_p05,defense_strength_p95,home_strength_mean,away_strength_mean,uncertainty_score,is_promoted_team,model_version,generated_at
Athletic Club,0,0.0616,-0.1925,0.3157,0.0457,-0.2036,0.2949,0.3182,0.0159,1.0066,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Atlético de Madrid,0,0.2959,0.0775,0.5143,0.1548,-0.1144,0.4241,0.4434,0.1411,0.9753,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
CA Osasuna,0,0.025,-0.2346,0.2845,0.0044,-0.239,0.2479,0.3228,0.0205,1.0059,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
CD Leganés,0,-0.0738,-0.6256,0.4781,-0.064,-0.5358,0.4077,0.2926,-0.0097,2.0471,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Celta Vigo,0,0.1673,-0.0702,0.4049,0.0064,-0.2373,0.2501,0.4632,0.1609,0.9625,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Cádiz CF,0,-0.3463,-1.1617,0.4692,-0.0269,-0.6338,0.5799,-0.0171,-0.3194,2.8445,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Córdoba CF,0,-0.0011,-3.3068,3.3046,-0.0008,-3.3057,3.3041,0.302,-0.0003,13.2212,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Deportivo Alavés,0,-0.0195,-0.2919,0.2528,-0.0271,-0.2698,0.2156,0.3099,0.0076,1.0301,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Elche CF,0,0.0811,-0.2283,0.3905,-0.0909,-0.3713,0.1894,0.4744,0.1721,1.1795,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
FC Barcelona,0,0.5772,0.3943,0.7601,0.2418,-0.0466,0.5302,0.6377,0.3354,0.9426,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Getafe CF,0,-0.2244,-0.5252,0.0764,0.2201,-0.0571,0.4973,-0.1422,-0.4445,1.1561,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Girona FC,0,0.0258,-0.2367,0.2883,-0.0287,-0.2693,0.212,0.3567,0.0544,1.0063,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Granada CF,0,-0.0985,-0.9057,0.7087,-0.2969,-0.8855,0.2916,0.5008,0.1985,2.7915,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Levante UD,0,0.0814,-0.2339,0.3968,-0.1144,-0.397,0.1682,0.4982,0.1959,1.1958,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Málaga CF,0,-0.0613,-3.2444,3.1218,-0.0561,-3.2145,3.1024,0.2971,-0.0052,12.6832,True,0.1.0-phase1,2026-09-16T07:40:49+00:00
R. Racing Club,0,-0.0536,-3.3645,3.2574,-0.0536,-3.3645,3.2574,0.3023,0.0,13.2439,True,0.1.0-phase1,2026-09-16T07:40:49+00:00
RC Deportivo,0,-0.0566,-3.2385,3.1253,-0.0652,-3.2199,3.0894,0.3109,0.0086,12.6731,True,0.1.0-phase1,2026-09-16T07:40:49+00:00
RCD Espanyol de Barcelona,0,-0.0291,-0.3125,0.2543,-0.0376,-0.2858,0.2105,0.3108,0.0085,1.0631,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
RCD Mallorca,0,-0.0188,-0.2862,0.2486,-0.0027,-0.2465,0.241,0.2862,-0.0161,1.0223,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Rayo Vallecano,0,-0.0676,-0.3416,0.2065,0.1155,-0.1459,0.3769,0.1192,-0.1831,1.0709,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Real Betis,0,0.2139,-0.0163,0.4442,0.0428,-0.2075,0.2931,0.4734,0.1711,0.9611,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Real Madrid,0,0.4376,0.2383,0.6369,0.281,-0.0122,0.5741,0.459,0.1567,0.9849,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Real Oviedo,0,-0.377,-0.8049,0.0509,-0.0958,-0.3843,0.1928,0.021,-0.2812,1.433,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Real Sociedad,0,0.153,-0.087,0.393,-0.0616,-0.296,0.1727,0.5169,0.2146,0.9487,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Real Valladolid,0,-0.3509,-0.9648,0.263,-0.411,-0.7625,-0.0595,0.3624,0.0601,1.9308,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
SD Eibar,0,-0.1271,-2.3079,2.0536,-0.0207,-2.0072,1.9659,0.1958,-0.1065,8.3345,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
SD Huesca,0,-0.0955,-2.469,2.2779,-0.0184,-2.2414,2.2047,0.2251,-0.0772,9.1931,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Sevilla FC,0,0.0171,-0.2443,0.2785,-0.0727,-0.3035,0.1581,0.392,0.0897,0.9844,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Sporting Gijón,0,-0.0011,-3.2654,3.2632,-0.0066,-3.263,3.2499,0.3077,0.0054,13.0415,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
UD Almería,0,0.0469,-0.6509,0.7446,-0.2442,-0.8185,0.3301,0.5933,0.2911,2.5442,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
UD Las Palmas,0,-0.1497,-0.6471,0.3477,-0.0884,-0.4883,0.3116,0.2409,-0.0614,1.7948,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Valencia CF,0,0.0452,-0.2109,0.3013,-0.0087,-0.25,0.2325,0.3562,0.0539,0.9947,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
Villarreal CF,0,0.3815,0.1744,0.5886,0.02,-0.2284,0.2684,0.6638,0.3615,0.911,False,0.1.0-phase1,2026-09-16T07:40:49+00:00
