team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Athletic Club,0.0003,0.00708,0.04058,0.07896,0.10027,0.10643,0.10103,0.09215,0.0828,0.07396,0.06438,0.05589,0.04834,0.0411,0.03308,0.02692,0.02018,0.01418,0.00865,0.00373
Atlético de Madrid,0.01824,0.13168,0.34996,0.20555,0.11296,0.0657,0.04064,0.02569,0.01684,0.0118,0.00759,0.00493,0.00324,0.00212,0.00147,0.00081,0.00039,0.00026,9e-05,2e-05
CA Osasuna,7e-05,0.00109,0.00844,0.02082,0.0343,0.04683,0.05611,0.06229,0.06884,0.0731,0.0766,0.07784,0.0786,0.07715,0.07214,0.06825,0.06136,0.05124,0.04052,0.02442
Celta Vigo,4e-05,0.00124,0.00981,0.02362,0.03793,0.04997,0.05828,0.06553,0.07116,0.07329,0.07541,0.07486,0.07436,0.0743,0.07081,0.06512,0.05884,0.05075,0.04033,0.02436
Deportivo Alavés,0.00036,0.00573,0.0332,0.06323,0.08628,0.09519,0.09464,0.09328,0.08602,0.07786,0.07102,0.06209,0.05482,0.04715,0.03909,0.03181,0.02506,0.01741,0.01122,0.00453
Elche CF,0.0,0.00035,0.00293,0.00804,0.01402,0.02027,0.026,0.03237,0.0383,0.0456,0.05084,0.0588,0.06442,0.07147,0.07932,0.08535,0.09517,0.10218,0.1058,0.09877
FC Barcelona,0.78421,0.18214,0.02708,0.00493,0.00116,0.00034,0.00011,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Getafe CF,1e-05,0.0003,0.0028,0.00767,0.01523,0.02311,0.03122,0.03915,0.04808,0.0547,0.0622,0.07097,0.0774,0.0836,0.08936,0.09148,0.091,0.08654,0.07459,0.05058
Levante UD,8e-05,0.00145,0.01082,0.02406,0.037,0.04624,0.05352,0.05874,0.0635,0.06482,0.06852,0.07023,0.0705,0.07176,0.07132,0.06981,0.06602,0.0609,0.05347,0.03725
Málaga CF,0.0,0.00014,0.001,0.00291,0.00548,0.00788,0.01102,0.01374,0.01699,0.02074,0.02576,0.03111,0.03805,0.04567,0.0557,0.06999,0.08764,0.11511,0.16327,0.28778
R. Racing Club,1e-05,0.00031,0.00221,0.00536,0.00896,0.01253,0.01739,0.02134,0.02573,0.03113,0.03678,0.04252,0.05008,0.05848,0.06833,0.08082,0.09613,0.11831,0.14617,0.17741
RC Deportivo,1e-05,0.00048,0.0037,0.00788,0.01345,0.01836,0.02334,0.02864,0.03274,0.03888,0.04375,0.04996,0.05702,0.06436,0.07431,0.08582,0.09798,0.1124,0.12485,0.12212
RCD Espanyol de Barcelona,6e-05,0.0016,0.01349,0.03158,0.04795,0.06062,0.06914,0.07418,0.07732,0.07936,0.07704,0.07635,0.07156,0.06734,0.06276,0.0562,0.04862,0.03923,0.02909,0.01652
Rayo Vallecano,4e-05,0.00075,0.00849,0.02048,0.03304,0.04502,0.05522,0.06168,0.06729,0.07103,0.07478,0.07659,0.0764,0.07532,0.07346,0.06908,0.06366,0.05586,0.04423,0.02759
Real Betis,0.00686,0.06113,0.21648,0.2255,0.15091,0.10198,0.07065,0.0488,0.03516,0.0251,0.01858,0.01332,0.00906,0.00641,0.00438,0.00275,0.0015,0.00091,0.0004,0.00011
Real Madrid,0.18859,0.58355,0.15245,0.04658,0.01628,0.00639,0.00305,0.00154,0.00068,0.0004,0.00024,0.00011,8e-05,5e-05,1e-05,0.0,0.0,0.0,0.0,0.0
Real Sociedad,0.00014,0.00265,0.02055,0.04539,0.06764,0.07894,0.08306,0.08424,0.08138,0.07965,0.07489,0.07013,0.06495,0.05753,0.05068,0.04446,0.03624,0.02789,0.01939,0.01019
Sevilla FC,0.00017,0.00314,0.01952,0.04342,0.06482,0.07677,0.08161,0.08531,0.08459,0.08122,0.07672,0.0718,0.06576,0.059,0.05134,0.04385,0.03629,0.02758,0.01821,0.00888
Valencia CF,0.0,0.00011,0.00124,0.00419,0.00836,0.01377,0.01958,0.02596,0.03224,0.03996,0.04751,0.05496,0.06469,0.07272,0.08408,0.09319,0.10409,0.11322,0.11599,0.10414
Villarreal CF,0.00081,0.01508,0.07527,0.12984,0.14396,0.12368,0.10439,0.08538,0.07034,0.0574,0.0474,0.03752,0.03067,0.02446,0.01836,0.01427,0.00983,0.00603,0.00372,0.00159
