team,relegation_probability,expected_points,expected_position
Málaga CF,0.56617,35.4,16.803
R. Racing Club,0.4419,38.5,15.776
RC Deportivo,0.35936,40.48,15.011
Valencia CF,0.33336,40.49,15.067
Elche CF,0.30674,41.49,14.576
Getafe CF,0.21172,43.33,13.816
Levante UD,0.15162,46.62,12.342
Rayo Vallecano,0.12768,46.92,12.217
CA Osasuna,0.11617,47.34,12.081
Celta Vigo,0.11545,47.36,11.927
RCD Espanyol de Barcelona,0.08483,48.93,11.233
Real Sociedad,0.05747,51.23,10.322
Sevilla FC,0.05468,51.15,10.346
Deportivo Alavés,0.03316,53.15,9.366
Athletic Club,0.02656,54.29,8.868
Villarreal CF,0.01134,57.64,7.453
Real Betis,0.00142,64.88,5.233
Atlético de Madrid,0.00036,68.95,4.135
Real Madrid,0.0,81.17,2.169
FC Barcelona,0.0,90.86,1.258
