matchweek,horizon_bucket,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
7,0-2,home_win,0.0,0.1,0,,,2026-09-22T10:26:32+00:00
7,0-2,home_win,0.1,0.2,0,,,2026-09-22T10:26:32+00:00
7,0-2,home_win,0.2,0.3,1,0.2856,0.0,2026-09-22T10:26:32+00:00
7,0-2,home_win,0.3,0.4,0,,,2026-09-22T10:26:32+00:00
7,0-2,home_win,0.4,0.5,1,0.4362,0.0,2026-09-22T10:26:32+00:00
7,0-2,home_win,0.5,0.6,1,0.5442,1.0,2026-09-22T10:26:32+00:00
7,0-2,home_win,0.6,0.7,0,,,2026-09-22T10:26:32+00:00
7,0-2,home_win,0.7,0.8,1,0.7025,1.0,2026-09-22T10:26:32+00:00
7,0-2,home_win,0.8,0.9,1,0.8206,1.0,2026-09-22T10:26:32+00:00
7,0-2,home_win,0.9,1.0,0,,,2026-09-22T10:26:32+00:00
7,0-2,draw,0.0,0.1,0,,,2026-09-22T10:26:32+00:00
7,0-2,draw,0.1,0.2,2,0.1454,0.0,2026-09-22T10:26:32+00:00
7,0-2,draw,0.2,0.3,2,0.2744,0.0,2026-09-22T10:26:32+00:00
7,0-2,draw,0.3,0.4,1,0.3122,0.0,2026-09-22T10:26:32+00:00
7,0-2,draw,0.4,0.5,0,,,2026-09-22T10:26:32+00:00
7,0-2,draw,0.5,0.6,0,,,2026-09-22T10:26:32+00:00
7,0-2,draw,0.6,0.7,0,,,2026-09-22T10:26:32+00:00
7,0-2,draw,0.7,0.8,0,,,2026-09-22T10:26:32+00:00
7,0-2,draw,0.8,0.9,0,,,2026-09-22T10:26:32+00:00
7,0-2,draw,0.9,1.0,0,,,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.0,0.1,1,0.0746,0.0,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.1,0.2,2,0.1461,0.0,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.2,0.3,1,0.2901,1.0,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.3,0.4,0,,,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.4,0.5,1,0.4021,1.0,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.5,0.6,0,,,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.6,0.7,0,,,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.7,0.8,0,,,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.8,0.9,0,,,2026-09-22T10:26:32+00:00
7,0-2,away_win,0.9,1.0,0,,,2026-09-22T10:26:32+00:00
7,3-7,home_win,0.0,0.1,0,,,2026-09-22T10:26:32+00:00
7,3-7,home_win,0.1,0.2,1,0.1134,0.0,2026-09-22T10:26:32+00:00
7,3-7,home_win,0.2,0.3,0,,,2026-09-22T10:26:32+00:00
