matchweek,track,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
7,operational,home_win,0.0,0.1,0,,,2026-09-22T10:26:32+00:00
7,operational,home_win,0.1,0.2,1,0.1134,0.0,2026-09-22T10:26:32+00:00
7,operational,home_win,0.2,0.3,1,0.2856,0.0,2026-09-22T10:26:32+00:00
7,operational,home_win,0.3,0.4,3,0.3685,0.3333,2026-09-22T10:26:32+00:00
7,operational,home_win,0.4,0.5,4,0.4528,0.25,2026-09-22T10:26:32+00:00
7,operational,home_win,0.5,0.6,3,0.5235,0.6667,2026-09-22T10:26:32+00:00
7,operational,home_win,0.6,0.7,1,0.6242,1.0,2026-09-22T10:26:32+00:00
7,operational,home_win,0.7,0.8,1,0.7025,1.0,2026-09-22T10:26:32+00:00
7,operational,home_win,0.8,0.9,1,0.8206,1.0,2026-09-22T10:26:32+00:00
7,operational,home_win,0.9,1.0,0,,,2026-09-22T10:26:32+00:00
7,operational,draw,0.0,0.1,0,,,2026-09-22T10:26:32+00:00
7,operational,draw,0.1,0.2,3,0.1582,0.0,2026-09-22T10:26:32+00:00
7,operational,draw,0.2,0.3,9,0.2727,0.3333,2026-09-22T10:26:32+00:00
7,operational,draw,0.3,0.4,3,0.31,0.0,2026-09-22T10:26:32+00:00
7,operational,draw,0.4,0.5,0,,,2026-09-22T10:26:32+00:00
7,operational,draw,0.5,0.6,0,,,2026-09-22T10:26:32+00:00
7,operational,draw,0.6,0.7,0,,,2026-09-22T10:26:32+00:00
7,operational,draw,0.7,0.8,0,,,2026-09-22T10:26:32+00:00
7,operational,draw,0.8,0.9,0,,,2026-09-22T10:26:32+00:00
7,operational,draw,0.9,1.0,0,,,2026-09-22T10:26:32+00:00
7,operational,away_win,0.0,0.1,1,0.0746,0.0,2026-09-22T10:26:32+00:00
7,operational,away_win,0.1,0.2,4,0.1557,0.0,2026-09-22T10:26:32+00:00
7,operational,away_win,0.2,0.3,4,0.2496,0.5,2026-09-22T10:26:32+00:00
7,operational,away_win,0.3,0.4,4,0.3266,0.25,2026-09-22T10:26:32+00:00
7,operational,away_win,0.4,0.5,1,0.4021,1.0,2026-09-22T10:26:32+00:00
7,operational,away_win,0.5,0.6,0,,,2026-09-22T10:26:32+00:00
7,operational,away_win,0.6,0.7,0,,,2026-09-22T10:26:32+00:00
7,operational,away_win,0.7,0.8,1,0.7028,1.0,2026-09-22T10:26:32+00:00
7,operational,away_win,0.8,0.9,0,,,2026-09-22T10:26:32+00:00
7,operational,away_win,0.9,1.0,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.0,0.1,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.1,0.2,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.2,0.3,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.3,0.4,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.4,0.5,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.5,0.6,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.6,0.7,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.7,0.8,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.8,0.9,0,,,2026-09-22T10:26:32+00:00
7,preseason,home_win,0.9,1.0,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.0,0.1,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.1,0.2,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.2,0.3,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.3,0.4,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.4,0.5,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.5,0.6,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.6,0.7,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.7,0.8,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.8,0.9,0,,,2026-09-22T10:26:32+00:00
7,preseason,draw,0.9,1.0,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.0,0.1,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.1,0.2,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.2,0.3,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.3,0.4,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.4,0.5,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.5,0.6,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.6,0.7,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.7,0.8,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.8,0.9,0,,,2026-09-22T10:26:32+00:00
7,preseason,away_win,0.9,1.0,0,,,2026-09-22T10:26:32+00:00
