outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency
home_win,0.0,0.1,32,0.0755,0.2188
home_win,0.1,0.2,231,0.1586,0.2121
home_win,0.2,0.3,371,0.2514,0.2399
home_win,0.3,0.4,532,0.3517,0.3778
home_win,0.4,0.5,500,0.4478,0.416
home_win,0.5,0.6,427,0.5462,0.555
home_win,0.6,0.7,294,0.6438,0.6803
home_win,0.7,0.8,181,0.7434,0.768
home_win,0.8,0.9,83,0.8372,0.7831
home_win,0.9,1.0,9,0.9172,0.6667
draw,0.0,0.1,36,0.0819,0.0833
draw,0.1,0.2,356,0.165,0.1629
draw,0.2,0.3,1722,0.2574,0.2805
draw,0.3,0.4,545,0.3216,0.3064
draw,0.4,0.5,1,0.4454,0.0
draw,0.5,0.6,0,,
draw,0.6,0.7,0,,
draw,0.7,0.8,0,,
draw,0.8,0.9,0,,
draw,0.9,1.0,0,,
away_win,0.0,0.1,253,0.0689,0.087
away_win,0.1,0.2,564,0.1538,0.1365
away_win,0.2,0.3,647,0.2492,0.2318
away_win,0.3,0.4,536,0.3479,0.3209
away_win,0.4,0.5,309,0.4496,0.4693
away_win,0.5,0.6,203,0.5482,0.4975
away_win,0.6,0.7,117,0.644,0.5043
away_win,0.7,0.8,25,0.7442,0.68
away_win,0.8,0.9,5,0.8485,0.8
away_win,0.9,1.0,1,0.926,1.0
