team,title_probability,expected_points,median_points
FC Barcelona,0.78421,90.86,91.0
Real Madrid,0.18859,81.17,81.0
Atlético de Madrid,0.01824,68.95,69.0
Real Betis,0.00686,64.88,65.0
Villarreal CF,0.00081,57.64,58.0
Deportivo Alavés,0.00036,53.15,53.0
Athletic Club,0.0003,54.29,54.0
Sevilla FC,0.00017,51.15,51.0
Real Sociedad,0.00014,51.23,51.0
Levante UD,8e-05,46.62,46.0
CA Osasuna,7e-05,47.34,47.0
RCD Espanyol de Barcelona,6e-05,48.93,49.0
Celta Vigo,4e-05,47.36,47.0
Rayo Vallecano,4e-05,46.92,47.0
Getafe CF,1e-05,43.33,43.0
RC Deportivo,1e-05,40.48,40.0
R. Racing Club,1e-05,38.5,38.0
Elche CF,0.0,41.49,41.0
Valencia CF,0.0,40.49,40.0
Málaga CF,0.0,35.4,35.0
