team,top_4_probability,expected_points,expected_position
FC Barcelona,0.99836,90.86,1.258
Real Madrid,0.97117,81.17,2.169
Atlético de Madrid,0.70544,68.95,4.135
Real Betis,0.50997,64.88,5.233
Villarreal CF,0.221,57.64,7.453
Athletic Club,0.12692,54.29,8.868
Deportivo Alavés,0.10252,53.15,9.366
Real Sociedad,0.06873,51.23,10.322
Sevilla FC,0.06624,51.15,10.346
RCD Espanyol de Barcelona,0.04674,48.93,11.233
Levante UD,0.0364,46.62,12.342
Celta Vigo,0.0347,47.36,11.927
CA Osasuna,0.03042,47.34,12.081
Rayo Vallecano,0.02976,46.92,12.217
RC Deportivo,0.01206,40.48,15.011
Elche CF,0.01132,41.49,14.576
Getafe CF,0.01078,43.33,13.816
R. Racing Club,0.00789,38.5,15.776
Valencia CF,0.00554,40.49,15.067
Málaga CF,0.00406,35.4,16.803
