outcome_class,raw_probability,calibrated_probability
home_win,0.0,0.0
home_win,0.05,0.1
home_win,0.1,0.1875
home_win,0.15,0.2035
home_win,0.2,0.2235
home_win,0.25,0.2273
home_win,0.3,0.2435
home_win,0.35,0.3684
home_win,0.4,0.3889
home_win,0.45,0.4785
home_win,0.5,0.5278
home_win,0.55,0.5455
home_win,0.6,0.5774
home_win,0.65,0.6655
home_win,0.7,0.6655
home_win,0.75,0.6655
home_win,0.8,0.6655
home_win,0.85,1.0
home_win,0.9,1.0
home_win,0.95,1.0
home_win,1.0,1.0
draw,0.0,0.0
draw,0.05,0.0
draw,0.1,0.0
draw,0.15,0.2004
draw,0.2,0.2004
draw,0.25,0.2464
draw,0.3,0.289
draw,0.35,0.3246
draw,0.4,0.3246
draw,0.45,0.3246
draw,0.5,0.3246
draw,0.55,0.3246
draw,0.6,0.3246
draw,0.65,0.3246
draw,0.7,0.3246
draw,0.75,0.3246
draw,0.8,0.3246
draw,0.85,0.3246
draw,0.9,0.3246
draw,0.95,0.3246
draw,1.0,0.3246
away_win,0.0,0.0
away_win,0.05,0.0625
away_win,0.1,0.1319
away_win,0.15,0.1389
away_win,0.2,0.2286
away_win,0.25,0.2432
away_win,0.3,0.2982
away_win,0.35,0.3469
away_win,0.4,0.4151
away_win,0.45,0.4714
away_win,0.5,0.4714
away_win,0.55,0.5455
away_win,0.6,0.5455
away_win,0.65,0.5882
away_win,0.7,0.6308
away_win,0.75,0.6308
away_win,0.8,0.8125
away_win,0.85,0.8571
away_win,0.9,0.8702
away_win,0.95,1.0
away_win,1.0,1.0
