team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability
AJ Auxerre,0.00041,0.00144,0.00311,0.00572,0.00949,0.01525,0.02342,0.03485,0.04966,0.06776,0.08588,0.10187,0.11456,0.11825,0.11533,0.10442,0.08864,0.05996
AS Monaco,0.13326,0.16606,0.1493,0.12962,0.10794,0.08805,0.07081,0.05338,0.03875,0.0263,0.01622,0.00991,0.00547,0.00274,0.00131,0.00059,0.00024,4e-05
Angers SCO,5e-05,0.00019,0.00066,0.0011,0.00228,0.0046,0.00772,0.0131,0.02123,0.03359,0.04898,0.06804,0.0895,0.11367,0.13622,0.15428,0.16234,0.14245
Estac Troyes,0.00016,0.00048,0.001,0.00183,0.00302,0.00539,0.00818,0.01256,0.01926,0.0293,0.04007,0.05486,0.07078,0.0893,0.11082,0.13658,0.17592,0.2405
FC Lorient,0.00321,0.00779,0.01396,0.0222,0.03104,0.04297,0.05636,0.07191,0.08834,0.10346,0.10933,0.10656,0.09512,0.08053,0.06552,0.0501,0.03412,0.01747
Havre Athletic Club,6e-05,0.00023,0.0007,0.00141,0.00282,0.00475,0.00855,0.0148,0.02284,0.03523,0.05226,0.07016,0.09184,0.11311,0.13435,0.14861,0.15713,0.14117
LOSC Lille,0.13302,0.167,0.14969,0.12856,0.10845,0.08926,0.07097,0.05438,0.0389,0.02594,0.01534,0.00939,0.00476,0.00237,0.00132,0.00044,0.00015,5e-05
Le Mans FC,0.00014,0.00033,0.00077,0.00148,0.00252,0.00408,0.00696,0.01028,0.01631,0.02455,0.03466,0.04801,0.06408,0.08224,0.10461,0.13704,0.18284,0.2791
OGC Nice,0.00017,0.0008,0.00191,0.00379,0.00658,0.01094,0.01738,0.02665,0.04003,0.05771,0.07862,0.09692,0.11291,0.12307,0.12582,0.12024,0.1046,0.07186
Olympique Lyonnais,0.06396,0.09758,0.11234,0.11716,0.11538,0.10763,0.0976,0.0845,0.06782,0.04943,0.03426,0.02312,0.01351,0.00816,0.00439,0.00216,0.00072,0.00026
Olympique de Marseille,0.02632,0.05059,0.07324,0.08892,0.1009,0.10869,0.10942,0.10547,0.09377,0.07572,0.05759,0.04094,0.02768,0.01848,0.01158,0.00647,0.00317,0.00107
Paris FC,0.03662,0.05749,0.07276,0.0833,0.09059,0.09723,0.09866,0.09781,0.09135,0.07777,0.06248,0.04581,0.03383,0.02368,0.01501,0.00925,0.0047,0.00166
Paris Saint-Germain,0.46615,0.21618,0.12211,0.07412,0.04738,0.02926,0.01915,0.01198,0.00667,0.00361,0.00185,0.0009,0.00036,0.00019,4e-05,3e-05,2e-05,0.0
RC Lens,0.04427,0.07612,0.09628,0.10704,0.11217,0.11024,0.10549,0.09446,0.07906,0.05986,0.04325,0.0296,0.01894,0.01131,0.00634,0.00349,0.00161,0.00048
RC Strasbourg Alsace,0.02677,0.05046,0.07109,0.08662,0.09902,0.10592,0.10926,0.10533,0.09518,0.07788,0.05984,0.04288,0.02972,0.01905,0.01098,0.00614,0.00296,0.00089
Stade Brestois 29,0.00124,0.00466,0.00937,0.01538,0.02323,0.03479,0.04648,0.06274,0.08152,0.09998,0.11317,0.11416,0.10668,0.09341,0.07603,0.05848,0.03911,0.01958
Stade Rennais FC,0.06292,0.09845,0.11325,0.11758,0.11438,0.10752,0.09699,0.08307,0.06674,0.05127,0.03448,0.02288,0.01428,0.00828,0.00456,0.00226,0.0008,0.00028
Toulouse FC,0.00127,0.00414,0.00847,0.01417,0.02282,0.03342,0.0466,0.06273,0.08257,0.10064,0.11173,0.11402,0.10598,0.09216,0.07578,0.0594,0.04094,0.02318
