team,relegation_probability,expected_points,expected_position
Le Mans FC,0.60246,30.19,15.262
Estac Troyes,0.60236,30.2,15.256
Angers SCO,0.53899,31.73,14.975
Havre Athletic Club,0.35057,36.11,13.588
Stade Brestois 29,0.17945,41.26,11.737
OGC Nice,0.1596,42.02,11.445
AJ Auxerre,0.15527,42.38,11.276
FC Lorient,0.12542,44.31,10.54
Paris FC,0.08474,47.68,9.238
Toulouse FC,0.08364,46.01,9.877
RC Strasbourg Alsace,0.03098,51.24,7.832
Stade Rennais FC,0.02608,52.07,7.523
AS Monaco,0.01871,53.68,6.921
Olympique Lyonnais,0.0161,54.32,6.684
Olympique de Marseille,0.01113,56.03,6.075
LOSC Lille,0.01014,56.03,6.077
RC Lens,0.00432,59.7,4.864
Paris Saint-Germain,7e-05,72.84,1.83
