matchweek,track,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
5,operational,home_win,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,operational,home_win,0.1,0.2,1,0.199,0.0,2026-09-21T07:40:17+00:00
5,operational,home_win,0.2,0.3,1,0.2456,1.0,2026-09-21T07:40:17+00:00
5,operational,home_win,0.3,0.4,2,0.3656,1.0,2026-09-21T07:40:17+00:00
5,operational,home_win,0.4,0.5,4,0.4596,1.0,2026-09-21T07:40:17+00:00
5,operational,home_win,0.5,0.6,1,0.5181,1.0,2026-09-21T07:40:17+00:00
5,operational,home_win,0.6,0.7,0,,,2026-09-21T07:40:17+00:00
5,operational,home_win,0.7,0.8,0,,,2026-09-21T07:40:17+00:00
5,operational,home_win,0.8,0.9,0,,,2026-09-21T07:40:17+00:00
5,operational,home_win,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
5,operational,draw,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,operational,draw,0.1,0.2,0,,,2026-09-21T07:40:17+00:00
5,operational,draw,0.2,0.3,9,0.2545,0.0,2026-09-21T07:40:17+00:00
5,operational,draw,0.3,0.4,0,,,2026-09-21T07:40:17+00:00
5,operational,draw,0.4,0.5,0,,,2026-09-21T07:40:17+00:00
5,operational,draw,0.5,0.6,0,,,2026-09-21T07:40:17+00:00
5,operational,draw,0.6,0.7,0,,,2026-09-21T07:40:17+00:00
5,operational,draw,0.7,0.8,0,,,2026-09-21T07:40:17+00:00
5,operational,draw,0.8,0.9,0,,,2026-09-21T07:40:17+00:00
5,operational,draw,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
5,operational,away_win,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,operational,away_win,0.1,0.2,0,,,2026-09-21T07:40:17+00:00
5,operational,away_win,0.2,0.3,4,0.2658,0.0,2026-09-21T07:40:17+00:00
5,operational,away_win,0.3,0.4,3,0.3525,0.0,2026-09-21T07:40:17+00:00
5,operational,away_win,0.4,0.5,1,0.4711,0.0,2026-09-21T07:40:17+00:00
5,operational,away_win,0.5,0.6,1,0.5858,1.0,2026-09-21T07:40:17+00:00
5,operational,away_win,0.6,0.7,0,,,2026-09-21T07:40:17+00:00
5,operational,away_win,0.7,0.8,0,,,2026-09-21T07:40:17+00:00
5,operational,away_win,0.8,0.9,0,,,2026-09-21T07:40:17+00:00
5,operational,away_win,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.1,0.2,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.2,0.3,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.3,0.4,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.4,0.5,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.5,0.6,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.6,0.7,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.7,0.8,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.8,0.9,0,,,2026-09-21T07:40:17+00:00
5,preseason,home_win,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.1,0.2,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.2,0.3,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.3,0.4,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.4,0.5,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.5,0.6,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.6,0.7,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.7,0.8,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.8,0.9,0,,,2026-09-21T07:40:17+00:00
5,preseason,draw,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.0,0.1,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.1,0.2,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.2,0.3,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.3,0.4,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.4,0.5,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.5,0.6,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.6,0.7,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.7,0.8,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.8,0.9,0,,,2026-09-21T07:40:17+00:00
5,preseason,away_win,0.9,1.0,0,,,2026-09-21T07:40:17+00:00
