outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency
home_win,0.0,0.1,42,0.0718,0.1667
home_win,0.1,0.2,195,0.1606,0.2154
home_win,0.2,0.3,380,0.2537,0.2368
home_win,0.3,0.4,425,0.3517,0.3482
home_win,0.4,0.5,481,0.4495,0.4636
home_win,0.5,0.6,375,0.548,0.56
home_win,0.6,0.7,245,0.6471,0.6204
home_win,0.7,0.8,134,0.7444,0.6269
home_win,0.8,0.9,50,0.8393,0.78
home_win,0.9,1.0,10,0.9234,1.0
draw,0.0,0.1,27,0.0746,0.0
draw,0.1,0.2,345,0.1647,0.229
draw,0.2,0.3,1753,0.254,0.2504
draw,0.3,0.4,211,0.3152,0.2796
draw,0.4,0.5,1,0.4053,0.0
draw,0.5,0.6,0,,
draw,0.6,0.7,0,,
draw,0.7,0.8,0,,
draw,0.8,0.9,0,,
draw,0.9,1.0,0,,
away_win,0.0,0.1,152,0.0687,0.1053
away_win,0.1,0.2,452,0.1541,0.1726
away_win,0.2,0.3,569,0.2504,0.2513
away_win,0.3,0.4,466,0.3464,0.3541
away_win,0.4,0.5,339,0.4485,0.4484
away_win,0.5,0.6,206,0.5487,0.5194
away_win,0.6,0.7,96,0.6423,0.5625
away_win,0.7,0.8,41,0.742,0.6829
away_win,0.8,0.9,15,0.8345,0.7333
away_win,0.9,1.0,1,0.915,1.0
