team,expected_position,median_position,position_5th_percentile,position_25th_percentile,position_75th_percentile,position_95th_percentile,expected_points,points_5th_percentile,points_25th_percentile,median_points,points_75th_percentile,points_95th_percentile,expected_wins,expected_draws,expected_losses,expected_goals_for,expected_goals_against,expected_goal_difference,title_probability,top_4_probability,top_5_probability,top_half_probability,relegation_probability,most_likely_finish,model_version,generated_at
Paris Saint-Germain,1.83,1,1,1,2,5,72.84,57.0,67.0,73.0,79.0,87.0,22.2,6.24,5.56,77.95,33.45,44.5,0.63218,0.93525,0.96043,0.99722,7e-05,1,0.1.0-phase1,2026-09-16T23:40:51+00:00
RC Lens,4.864,4,1,2,7,11,59.7,43.0,53.0,60.0,66.0,76.0,17.32,7.73,8.94,59.07,38.97,20.1,0.09977,0.55394,0.65568,0.92997,0.00432,2,0.1.0-phase1,2026-09-16T23:40:51+00:00
Olympique de Marseille,6.075,5,1,3,8,13,56.03,39.0,49.0,56.0,63.0,72.0,16.24,7.32,10.45,62.27,47.74,14.53,0.05466,0.4054,0.50912,0.86678,0.01113,3,0.1.0-phase1,2026-09-16T23:40:51+00:00
LOSC Lille,6.077,5,1,3,8,13,56.03,40.0,49.0,56.0,63.0,72.0,15.85,8.46,9.68,50.74,36.94,13.8,0.05176,0.40272,0.50815,0.86819,0.01014,3,0.1.0-phase1,2026-09-16T23:40:51+00:00
Olympique Lyonnais,6.684,6,2,4,9,14,54.32,38.0,48.0,54.0,61.0,71.0,15.55,7.66,10.79,57.51,46.02,11.49,0.03894,0.33803,0.43895,0.828,0.0161,4,0.1.0-phase1,2026-09-16T23:40:51+00:00
AS Monaco,6.921,6,2,4,10,14,53.68,37.0,47.0,54.0,61.0,70.0,15.49,7.21,11.3,62.07,51.51,10.57,0.03585,0.31563,0.41338,0.80996,0.01871,4,0.1.0-phase1,2026-09-16T23:40:51+00:00
Stade Rennais FC,7.523,7,2,4,10,14,52.07,36.0,45.0,52.0,59.0,69.0,14.86,7.48,11.65,58.44,50.55,7.89,0.02592,0.25903,0.35068,0.76472,0.02608,6,0.1.0-phase1,2026-09-16T23:40:51+00:00
RC Strasbourg Alsace,7.832,8,2,5,11,15,51.24,35.0,44.0,51.0,58.0,68.0,14.53,7.64,11.83,55.78,49.43,6.36,0.0213,0.23368,0.32067,0.73876,0.03098,7,0.1.0-phase1,2026-09-16T23:40:51+00:00
Paris FC,9.238,9,2,6,13,16,47.68,30.0,40.0,48.0,55.0,66.0,13.23,8.0,12.77,49.54,48.89,0.65,0.01748,0.16955,0.233,0.59592,0.08474,9,0.1.0-phase1,2026-09-16T23:40:51+00:00
Toulouse FC,9.877,10,3,7,13,16,46.01,30.0,39.0,46.0,53.0,63.0,12.58,8.27,13.15,46.07,47.86,-1.79,0.00665,0.1068,0.16141,0.54461,0.08364,10,0.1.0-phase1,2026-09-16T23:40:51+00:00
FC Lorient,10.54,11,3,7,14,17,44.31,28.0,37.0,44.0,51.0,62.0,12.15,7.85,14.0,48.06,53.12,-5.06,0.00669,0.09192,0.13761,0.47398,0.12542,13,0.1.0-phase1,2026-09-16T23:40:51+00:00
AJ Auxerre,11.276,12,4,8,14,17,42.38,26.0,35.0,42.0,49.0,59.0,11.25,8.64,14.11,40.18,47.16,-6.98,0.00313,0.05851,0.09363,0.39962,0.15527,13,0.1.0-phase1,2026-09-16T23:40:51+00:00
OGC Nice,11.445,12,4,9,14,17,42.02,26.0,35.0,42.0,49.0,58.0,11.32,8.05,14.63,44.25,52.72,-8.47,0.00242,0.05118,0.08344,0.38058,0.1596,13,0.1.0-phase1,2026-09-16T23:40:51+00:00
Stade Brestois 29,11.737,12,5,9,15,17,41.26,26.0,35.0,41.0,48.0,58.0,11.16,7.78,15.06,45.91,56.11,-10.2,0.00206,0.0442,0.07257,0.35206,0.17945,14,0.1.0-phase1,2026-09-16T23:40:51+00:00
Havre Athletic Club,13.588,14,7,12,16,18,36.11,21.0,29.0,36.0,42.0,52.0,9.25,8.36,16.39,35.93,52.99,-17.06,0.00046,0.01482,0.02648,0.18229,0.35057,16,0.1.0-phase1,2026-09-16T23:40:51+00:00
Angers SCO,14.975,16,9,14,17,18,31.73,17.0,25.0,31.0,38.0,47.0,7.74,8.5,17.76,30.12,53.18,-23.07,0.00015,0.00462,0.009,0.08778,0.53899,17,0.1.0-phase1,2026-09-16T23:40:51+00:00
Estac Troyes,15.256,16,9,14,18,18,30.2,14.0,23.0,30.0,37.0,48.0,7.52,7.63,18.85,33.46,62.09,-28.64,0.00028,0.00743,0.01293,0.09051,0.60236,18,0.1.0-phase1,2026-09-16T23:40:51+00:00
Le Mans FC,15.262,16,9,14,18,18,30.19,14.0,23.0,30.0,37.0,48.0,7.52,7.63,18.85,33.46,62.07,-28.61,0.00031,0.00729,0.01287,0.08902,0.60246,18,0.1.0-phase1,2026-09-16T23:40:51+00:00
