team,title_probability,expected_points,median_points
Paris Saint-Germain,0.63218,72.84,73.0
RC Lens,0.09977,59.7,60.0
Olympique de Marseille,0.05466,56.03,56.0
LOSC Lille,0.05176,56.03,56.0
Olympique Lyonnais,0.03894,54.32,54.0
AS Monaco,0.03585,53.68,54.0
Stade Rennais FC,0.02592,52.07,52.0
RC Strasbourg Alsace,0.0213,51.24,51.0
Paris FC,0.01748,47.68,48.0
FC Lorient,0.00669,44.31,44.0
Toulouse FC,0.00665,46.01,46.0
AJ Auxerre,0.00313,42.38,42.0
OGC Nice,0.00242,42.02,42.0
Stade Brestois 29,0.00206,41.26,41.0
Havre Athletic Club,0.00046,36.11,36.0
Le Mans FC,0.00031,30.19,30.0
Estac Troyes,0.00028,30.2,30.0
Angers SCO,0.00015,31.73,31.0
