team,top_4_probability,expected_points,expected_position
Paris Saint-Germain,0.93525,72.84,1.83
RC Lens,0.55394,59.7,4.864
Olympique de Marseille,0.4054,56.03,6.075
LOSC Lille,0.40272,56.03,6.077
Olympique Lyonnais,0.33803,54.32,6.684
AS Monaco,0.31563,53.68,6.921
Stade Rennais FC,0.25903,52.07,7.523
RC Strasbourg Alsace,0.23368,51.24,7.832
Paris FC,0.16955,47.68,9.238
Toulouse FC,0.1068,46.01,9.877
FC Lorient,0.09192,44.31,10.54
AJ Auxerre,0.05851,42.38,11.276
OGC Nice,0.05118,42.02,11.445
Stade Brestois 29,0.0442,41.26,11.737
Havre Athletic Club,0.01482,36.11,13.588
Estac Troyes,0.00743,30.2,15.256
Le Mans FC,0.00729,30.19,15.262
Angers SCO,0.00462,31.73,14.975
