outcome_class,raw_probability,calibrated_probability
home_win,0.0,0.0
home_win,0.05,0.3143
home_win,0.1,0.3143
home_win,0.15,0.3143
home_win,0.2,0.3143
home_win,0.25,0.3143
home_win,0.3,0.3573
home_win,0.35,0.3573
home_win,0.4,0.3573
home_win,0.45,0.4664
home_win,0.5,0.4664
home_win,0.55,0.4664
home_win,0.6,0.5091
home_win,0.65,0.618
home_win,0.7,0.618
home_win,0.75,0.618
home_win,0.8,0.618
home_win,0.85,0.618
home_win,0.9,0.618
home_win,0.95,0.618
home_win,1.0,1.0
draw,0.0,0.0
draw,0.05,0.2164
draw,0.1,0.2164
draw,0.15,0.2164
draw,0.2,0.2164
draw,0.25,0.2722
draw,0.3,0.2722
draw,0.35,0.2903
draw,0.4,0.3538
draw,0.45,0.3538
draw,0.5,0.3538
draw,0.55,0.3538
draw,0.6,0.3538
draw,0.65,0.3538
draw,0.7,0.5
draw,0.75,0.5
draw,0.8,0.5
draw,0.85,0.5
draw,0.9,0.5
draw,0.95,0.5
draw,1.0,0.5
away_win,0.0,0.0
away_win,0.05,0.1523
away_win,0.1,0.1523
away_win,0.15,0.2455
away_win,0.2,0.2455
away_win,0.25,0.277
away_win,0.3,0.3226
away_win,0.35,0.3411
away_win,0.4,0.3411
away_win,0.45,0.4567
away_win,0.5,0.4567
away_win,0.55,0.4567
away_win,0.6,0.4567
away_win,0.65,0.4567
away_win,0.7,0.5279
away_win,0.75,0.6
away_win,0.8,0.6
away_win,0.85,0.6
away_win,0.9,0.6
away_win,0.95,0.6
away_win,1.0,0.6
