team,expected_position,median_position,position_5th_percentile,position_25th_percentile,position_75th_percentile,position_95th_percentile,expected_points,points_5th_percentile,points_25th_percentile,median_points,points_75th_percentile,points_95th_percentile,expected_wins,expected_draws,expected_losses,expected_goals_for,expected_goals_against,expected_goal_difference,title_probability,top_4_probability,top_5_probability,top_half_probability,relegation_probability,most_likely_finish,model_version,generated_at
Los Angeles Football Club,7.544,6,1,3,11,20,60.6,41.0,53.0,61.0,69.0,79.0,17.76,7.31,8.93,65.34,42.51,22.83,0.12951,0.89725,0.48057,0.89725,0.0,1,0.1.0-phase1,2026-09-21T06:25:57+00:00
Inter Miami CF,7.856,6,1,3,11,21,59.93,41.0,52.0,60.0,68.0,78.0,17.87,6.31,9.82,79.31,55.84,23.47,0.11848,0.88772,0.45914,0.88772,0.0,1,0.1.0-phase1,2026-09-21T06:25:57+00:00
San Diego FC,8.297,6,1,3,12,23,59.75,38.0,51.0,60.0,69.0,80.0,17.53,7.15,9.32,66.59,44.76,21.83,0.14624,0.85284,0.4614,0.85284,0.0,1,0.1.0-phase1,2026-09-21T06:25:57+00:00
Vancouver Whitecaps FC,8.477,7,1,3,12,21,58.8,40.0,51.0,59.0,67.0,77.0,17.16,7.33,9.51,64.13,44.27,19.86,0.09574,0.8681,0.41534,0.8681,0.0,1,0.1.0-phase1,2026-09-21T06:25:57+00:00
Philadelphia Union,9.306,8,1,4,14,23,57.32,38.0,49.0,58.0,65.0,76.0,16.55,7.67,9.78,59.71,42.88,16.83,0.07963,0.83691,0.36576,0.83691,0.0,1,0.1.0-phase1,2026-09-21T06:25:57+00:00
Columbus Crew,10.323,9,1,4,15,24,55.53,36.0,48.0,56.0,64.0,74.0,16.12,7.16,10.71,65.13,50.84,14.29,0.06044,0.79554,0.31051,0.79554,0.0,3,0.1.0-phase1,2026-09-21T06:25:57+00:00
Seattle Sounders FC,10.65,9,1,5,15,24,54.94,36.0,47.0,55.0,63.0,74.0,15.72,7.78,10.5,57.38,44.23,13.16,0.05385,0.78455,0.28855,0.78455,0.0,3,0.1.0-phase1,2026-09-21T06:25:57+00:00
Minnesota United FC,11.17,10,2,5,16,25,54.09,35.0,46.0,54.0,62.0,73.0,15.44,7.76,10.8,57.24,45.59,11.65,0.04806,0.76026,0.26532,0.76026,0.0,4,0.1.0-phase1,2026-09-21T06:25:57+00:00
FC Cincinnati,11.21,10,2,5,16,24,53.99,35.0,46.0,54.0,62.0,73.0,15.35,7.92,10.72,55.42,44.12,11.3,0.04689,0.75771,0.2632,0.75771,0.0,3,0.1.0-phase1,2026-09-21T06:25:57+00:00
Orlando City,11.651,11,2,6,17,25,53.27,34.0,45.0,53.0,61.0,72.0,15.37,7.17,11.46,63.17,52.92,10.25,0.04347,0.73707,0.24532,0.73707,0.0,5,0.1.0-phase1,2026-09-21T06:25:57+00:00
