team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability,finish_21_probability,finish_22_probability,finish_23_probability,finish_24_probability,finish_25_probability,finish_26_probability,finish_27_probability,finish_28_probability,finish_29_probability,finish_30_probability
Atlanta United,0.00223,0.00387,0.00521,0.0071,0.00862,0.01048,0.01194,0.01426,0.016,0.0189,0.02119,0.0227,0.0248,0.02703,0.03033,0.03228,0.03495,0.03789,0.04154,0.04326,0.04744,0.04934,0.05319,0.0552,0.05896,0.0621,0.06365,0.06481,0.06616,0.06459
Austin FC,0.0036,0.00548,0.00809,0.01024,0.01219,0.0147,0.01611,0.01806,0.02157,0.02308,0.02532,0.02844,0.03017,0.0334,0.03558,0.03746,0.03971,0.04224,0.04385,0.04542,0.04768,0.0488,0.05083,0.05217,0.05361,0.05357,0.05315,0.05283,0.05026,0.04239
CF Montréal,0.00075,0.00148,0.00211,0.00305,0.00387,0.00478,0.00553,0.00727,0.00874,0.01007,0.0114,0.01306,0.01502,0.01773,0.02011,0.02274,0.02524,0.02868,0.03228,0.03637,0.04057,0.04484,0.05052,0.05564,0.06398,0.07105,0.08038,0.09225,0.10593,0.12456
Charlotte FC,0.03658,0.04463,0.04759,0.04857,0.04924,0.05035,0.05054,0.04962,0.04828,0.04687,0.04541,0.0437,0.04274,0.04078,0.03852,0.03662,0.03446,0.03303,0.0305,0.02835,0.02561,0.02357,0.02105,0.01888,0.01676,0.01452,0.01224,0.00958,0.00709,0.00432
Chicago Fire FC,0.0151,0.02132,0.02586,0.02924,0.03118,0.0341,0.0349,0.03717,0.03868,0.04003,0.04083,0.04178,0.04134,0.04266,0.04206,0.04292,0.04169,0.04065,0.04016,0.03919,0.0378,0.0366,0.03534,0.03332,0.03059,0.02804,0.02505,0.02151,0.01765,0.01324
Colorado Rapids,0.00349,0.00522,0.00728,0.00954,0.01171,0.01316,0.01516,0.01792,0.01932,0.022,0.02415,0.02667,0.0289,0.03122,0.03323,0.03565,0.03826,0.03992,0.04248,0.04461,0.04624,0.04839,0.05105,0.05357,0.05432,0.05623,0.05659,0.05756,0.05627,0.04984
Columbus Crew,0.06044,0.06386,0.06423,0.06188,0.0601,0.05702,0.05482,0.05222,0.04987,0.04692,0.0438,0.04138,0.03855,0.03584,0.0332,0.03142,0.02855,0.0262,0.02331,0.02125,0.01944,0.01718,0.01497,0.01312,0.01117,0.00964,0.00755,0.00571,0.00394,0.00243
D.C. United,0.00021,0.00036,0.00078,0.00109,0.00164,0.00193,0.0026,0.00335,0.00376,0.00475,0.0061,0.00727,0.00869,0.00974,0.0113,0.01343,0.01552,0.01906,0.02146,0.02548,0.02953,0.035,0.04084,0.04799,0.05763,0.06865,0.08585,0.10766,0.1439,0.22442
FC Cincinnati,0.04689,0.05214,0.05521,0.05454,0.05442,0.05352,0.05275,0.05103,0.04888,0.04808,0.04542,0.04328,0.0409,0.03911,0.03694,0.03458,0.03248,0.02977,0.02763,0.0253,0.02272,0.02042,0.01866,0.01585,0.01383,0.01104,0.00938,0.00704,0.00519,0.00299
FC Dallas,0.01339,0.01881,0.02312,0.02534,0.02853,0.03184,0.03472,0.03606,0.0369,0.03972,0.04037,0.04096,0.04234,0.04191,0.04243,0.04222,0.0422,0.04132,0.04121,0.04036,0.03867,0.03774,0.03654,0.03437,0.03232,0.03085,0.02794,0.02375,0.02029,0.0138
