team,relegation_probability,expected_points,expected_position
Los Angeles Football Club,0.0,60.6,7.544
Inter Miami CF,0.0,59.93,7.856
CF Montréal,0.0,34.25,23.368
Sporting Kansas City,0.0,35.4,22.716
New England Revolution,0.0,38.58,20.913
Atlanta United,0.0,38.59,20.907
Toronto FC,0.0,39.5,20.356
San Jose Earthquakes,0.0,39.95,20.079
Colorado Rapids,0.0,40.1,19.973
Austin FC,0.0,40.75,19.573
St. Louis CITY SC,0.0,41.88,18.894
Real Salt Lake,0.0,43.89,17.59
LA Galaxy,0.0,44.08,17.501
Portland Timbers,0.0,44.16,17.422
Houston Dynamo FC,0.0,44.31,17.318
Red Bull New York,0.0,46.29,16.056
FC Dallas,0.0,47.03,15.591
Chicago Fire FC,0.0,47.67,15.186
Nashville SC,0.0,49.57,13.973
New York City Football Club,0.0,50.05,13.656
Charlotte FC,0.0,52.68,12.03
Orlando City,0.0,53.27,11.651
FC Cincinnati,0.0,53.99,11.21
Minnesota United FC,0.0,54.09,11.17
Seattle Sounders FC,0.0,54.94,10.65
Columbus Crew,0.0,55.53,10.323
Philadelphia Union,0.0,57.32,9.306
Vancouver Whitecaps FC,0.0,58.8,8.477
San Diego FC,0.0,59.75,8.297
D.C. United,0.0,30.19,25.411
