outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency
home_win,0.0,0.1,13,0.0432,0.4615
home_win,0.1,0.2,26,0.1633,0.3846
home_win,0.2,0.3,125,0.2613,0.312
home_win,0.3,0.4,315,0.353,0.3587
home_win,0.4,0.5,419,0.449,0.4606
home_win,0.5,0.6,323,0.5478,0.4799
home_win,0.6,0.7,177,0.6421,0.5763
home_win,0.7,0.8,60,0.7433,0.6
home_win,0.8,0.9,17,0.8442,0.4706
home_win,0.9,1.0,6,0.9532,0.6667
draw,0.0,0.1,11,0.0623,0.2727
draw,0.1,0.2,109,0.1686,0.2202
draw,0.2,0.3,1011,0.2562,0.2671
draw,0.3,0.4,317,0.3308,0.2744
draw,0.4,0.5,24,0.4322,0.375
draw,0.5,0.6,4,0.54,0.25
draw,0.6,0.7,5,0.6734,0.2
draw,0.7,0.8,0,,
draw,0.8,0.9,0,,
draw,0.9,1.0,0,,
away_win,0.0,0.1,100,0.0626,0.2
away_win,0.1,0.2,386,0.1598,0.2228
away_win,0.2,0.3,462,0.2495,0.2554
away_win,0.3,0.4,355,0.3429,0.3408
away_win,0.4,0.5,124,0.4369,0.4355
away_win,0.5,0.6,41,0.5339,0.3902
away_win,0.6,0.7,8,0.6321,0.25
away_win,0.7,0.8,2,0.7596,1.0
away_win,0.8,0.9,3,0.8384,0.3333
away_win,0.9,1.0,0,,
