team,title_probability,expected_points,median_points
San Diego FC,0.14624,59.75,60.0
Los Angeles Football Club,0.12951,60.6,61.0
Inter Miami CF,0.11848,59.93,60.0
Vancouver Whitecaps FC,0.09574,58.8,59.0
Philadelphia Union,0.07963,57.32,58.0
Columbus Crew,0.06044,55.53,56.0
Seattle Sounders FC,0.05385,54.94,55.0
Minnesota United FC,0.04806,54.09,54.0
FC Cincinnati,0.04689,53.99,54.0
Orlando City,0.04347,53.27,53.0
Charlotte FC,0.03658,52.68,53.0
New York City Football Club,0.02394,50.05,50.0
Nashville SC,0.02199,49.57,49.0
Chicago Fire FC,0.0151,47.67,48.0
FC Dallas,0.01339,47.03,47.0
Red Bull New York,0.01212,46.29,46.0
Portland Timbers,0.00837,44.16,44.0
Houston Dynamo FC,0.00771,44.31,44.0
LA Galaxy,0.00757,44.08,44.0
Real Salt Lake,0.00742,43.89,44.0
St. Louis CITY SC,0.0046,41.88,42.0
Austin FC,0.0036,40.75,40.0
Colorado Rapids,0.00349,40.1,40.0
San Jose Earthquakes,0.00308,39.95,40.0
Toronto FC,0.00256,39.5,39.0
Atlanta United,0.00223,38.59,38.0
New England Revolution,0.00196,38.58,38.0
Sporting Kansas City,0.00103,35.4,35.0
CF Montréal,0.00075,34.25,34.0
D.C. United,0.00021,30.19,29.0
