outcome_class,raw_probability,calibrated_probability
home_win,0.0,0.0
home_win,0.05,0.0294
home_win,0.1,0.1348
home_win,0.15,0.1598
home_win,0.2,0.1598
home_win,0.25,0.2862
home_win,0.3,0.2862
home_win,0.35,0.3684
home_win,0.4,0.3802
home_win,0.45,0.4693
home_win,0.5,0.4885
home_win,0.55,0.5067
home_win,0.6,0.5664
home_win,0.65,0.5879
home_win,0.7,0.6733
home_win,0.75,0.6733
home_win,0.8,0.7037
home_win,0.85,0.7037
home_win,0.9,0.9231
home_win,0.95,0.9231
home_win,1.0,0.9231
draw,0.0,0.0
draw,0.05,0.0
draw,0.1,0.1576
draw,0.15,0.1576
draw,0.2,0.2314
draw,0.25,0.2686
draw,0.3,0.3426
draw,0.35,0.3893
draw,0.4,0.4167
draw,0.45,0.4167
draw,0.5,0.4167
draw,0.55,0.4167
draw,0.6,0.4167
draw,0.65,0.4167
draw,0.7,0.4167
draw,0.75,0.4167
draw,0.8,0.4167
draw,0.85,0.4167
draw,0.9,0.4167
draw,0.95,0.4167
draw,1.0,0.4167
away_win,0.0,0.05
away_win,0.05,0.1046
away_win,0.1,0.1154
away_win,0.15,0.1566
away_win,0.2,0.1783
away_win,0.25,0.2098
away_win,0.3,0.3093
away_win,0.35,0.3093
away_win,0.4,0.4025
away_win,0.45,0.4025
away_win,0.5,0.5056
away_win,0.55,0.6058
away_win,0.6,0.6058
away_win,0.65,0.6313
away_win,0.7,0.6313
away_win,0.75,0.6909
away_win,0.8,0.6909
away_win,0.85,0.7143
away_win,0.9,1.0
away_win,0.95,1.0
away_win,1.0,1.0
