team,matchweek,attack_strength_mean,attack_strength_p05,attack_strength_p95,defense_strength_mean,defense_strength_p05,defense_strength_p95,home_strength_mean,away_strength_mean,uncertainty_score,is_promoted_team,model_version,generated_at
Atalanta,0,0.3356,0.11,0.5612,0.1941,-0.0901,0.4784,0.2508,0.1414,1.0197,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Benevento,0,-0.0138,-2.4365,2.4089,-0.2098,-2.3536,1.9339,0.3054,0.1961,9.1328,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Bologna,0,0.2137,-0.0304,0.4577,0.0406,-0.2161,0.2972,0.2825,0.1731,1.0013,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Brescia,0,-0.0188,-2.8897,2.852,-0.1616,-2.8631,2.54,0.2521,0.1427,11.1448,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Cagliari,0,0.0361,-0.2429,0.3152,-0.0978,-0.3372,0.1417,0.2433,0.1339,1.0369,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Carpi,0,-0.0003,-3.2996,3.2991,-0.0007,-3.2974,3.296,0.1098,0.0005,13.192,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Cesena,0,-0.0002,-3.3065,3.3061,-0.0014,-3.3066,3.3039,0.1106,0.0012,13.2231,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Chievo,0,-0.0346,-3.0709,3.0017,-0.0552,-3.0059,2.8955,0.13,0.0206,11.9741,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Como,0,0.3615,0.1206,0.6024,0.2473,-0.0732,0.5679,0.2236,0.1142,1.1229,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Cremonese,0,-0.1602,-0.5444,0.2239,-0.1509,-0.433,0.1311,0.1001,-0.0093,1.3324,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Crotone,0,0.051,-2.3193,2.4213,-0.3103,-2.3635,1.7428,0.4707,0.3613,8.8469,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Empoli,0,-0.1183,-0.6005,0.3639,-0.1414,-0.5114,0.2287,0.1325,0.0231,1.7044,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Fiorentina,0,0.1674,-0.0836,0.4185,0.0359,-0.2207,0.2924,0.2409,0.1316,1.0151,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Frosinone,0,-0.0599,-0.9133,0.7935,-0.2259,-0.9098,0.458,0.2753,0.166,3.0746,True,0.1.0-phase1,2026-09-16T19:05:40+00:00
Genoa,0,0.031,-0.2485,0.3104,-0.0028,-0.2566,0.2511,0.1431,0.0337,1.0666,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Internazionale,0,0.6099,0.4203,0.7996,0.2451,-0.0528,0.5429,0.4743,0.3649,0.975,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Juventus,0,0.3137,0.0862,0.5413,0.2567,-0.04,0.5534,0.1664,0.057,1.0485,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Lazio,0,0.1493,-0.1042,0.4027,0.0986,-0.1679,0.3651,0.1601,0.0507,1.0399,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Lecce,0,-0.2373,-0.5645,0.09,-0.0308,-0.2771,0.2154,-0.097,-0.2064,1.1471,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Milan,0,0.2893,0.0576,0.521,0.15,-0.1264,0.4265,0.2486,0.1392,1.0161,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Monza,0,-0.1596,-0.6629,0.3437,-0.2057,-0.5624,0.151,0.1555,0.0461,1.72,True,0.1.0-phase1,2026-09-16T19:05:40+00:00
Napoli,0,0.3082,0.0799,0.5365,0.2514,-0.0447,0.5474,0.1662,0.0568,1.0488,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Palermo,0,-0.0016,-3.2668,3.2637,-0.0116,-3.2658,3.2426,0.1194,0.0101,13.0389,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Parma,0,-0.132,-0.4605,0.1965,0.0111,-0.2584,0.2806,-0.0337,-0.1431,1.1959,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Pescara,0,-0.0008,-3.2818,3.2802,-0.0106,-3.284,3.2628,0.1192,0.0098,13.1088,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Pisa,0,-0.3176,-0.7585,0.1234,-0.3202,-0.5808,-0.0596,0.112,0.0027,1.403,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Roma,0,0.3411,0.1167,0.5656,0.2665,-0.0313,0.5643,0.184,0.0746,1.0446,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Salernitana,0,-0.0575,-0.7961,0.6811,-0.3519,-0.8778,0.174,0.4038,0.2944,2.529,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Sampdoria,0,-0.1225,-1.2567,1.0117,-0.257,-1.1042,0.5902,0.2439,0.1345,3.9628,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Sassuolo,0,0.1287,-0.1662,0.4236,-0.0911,-0.3627,0.1805,0.3292,0.2198,1.133,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Spal,0,-0.0477,-2.7747,2.6794,-0.1558,-2.6576,2.3461,0.2175,0.1081,10.4579,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Spezia,0,-0.102,-1.2549,1.0509,-0.2257,-1.1163,0.6649,0.2331,0.1237,4.087,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Torino,0,0.0721,-0.195,0.3391,-0.0953,-0.332,0.1414,0.2768,0.1674,1.0074,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Udinese,0,0.0847,-0.1801,0.3496,-0.0093,-0.2584,0.2399,0.2034,0.094,1.0281,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
Venezia,0,-0.1544,-0.7576,0.4489,-0.1375,-0.6008,0.3258,0.0925,-0.0169,2.1331,True,0.1.0-phase1,2026-09-16T19:05:40+00:00
Verona,0,-0.2441,-0.5712,0.0829,-0.144,-0.3704,0.0823,0.0093,-0.1001,1.1068,False,0.1.0-phase1,2026-09-16T19:05:40+00:00
