match_id,home_team,away_team,top_factors_favoring_home,top_factors_favoring_draw,top_factors_favoring_away,top_factors_affecting_scoreline,market_disagreement_explanation,squad_injury_explanation,schedule_congestion_explanation,uncertainty_explanation,data_quality_notes,model_version,generated_at
SERIEA2627_MW01_005_Internazionale_Monza,Internazionale,Monza,Dixon-Coles attack/defense edge (lambda=3.78 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=0.52 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs promoted club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Promoted-club opponent: wide team-strength uncertainty (see serie_a_2026_27_dynamic_team_strength.csv).,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
SERIEA2627_MW01_009_Udinese_Como,Udinese,Como,Dixon-Coles attack/defense edge (lambda=0.91 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.59 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Both clubs have substantial recent Serie A history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
SERIEA2627_MW01_004_Genoa_Napoli,Genoa,Napoli,Dixon-Coles attack/defense edge (lambda=0.85 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.48 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Both clubs have substantial recent Serie A history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
SERIEA2627_MW01_006_Parma_Cagliari,Parma,Cagliari,Dixon-Coles attack/defense edge (lambda=1.07 expected goals) plus home advantage.,Scoreline entropy 2.67 nats; teams of similar fitted strength.,Dixon-Coles attack/defense edge (mu=1.03 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Both clubs have substantial recent Serie A history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
SERIEA2627_MW01_003_Frosinone_Juventus,Frosinone,Juventus,Dixon-Coles attack/defense edge (lambda=0.71 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=2.45 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Promoted club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Promoted-club opponent: wide team-strength uncertainty (see serie_a_2026_27_dynamic_team_strength.csv).,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
SERIEA2627_MW01_010_Venezia_Lecce,Venezia,Lecce,Dixon-Coles attack/defense edge (lambda=0.82 expected goals) plus home advantage.,Scoreline entropy 2.50 nats; teams of similar fitted strength.,Dixon-Coles attack/defense edge (mu=1.01 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Promoted club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Promoted-club opponent: wide team-strength uncertainty (see serie_a_2026_27_dynamic_team_strength.csv).,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
SERIEA2627_MW01_001_Atalanta_Sassuolo,Atalanta,Sassuolo,Dixon-Coles attack/defense edge (lambda=1.90 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=0.92 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Both clubs have substantial recent Serie A history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
SERIEA2627_MW01_008_Torino_Milan,Torino,Milan,Dixon-Coles attack/defense edge (lambda=1.01 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=1.62 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Both clubs have substantial recent Serie A history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
SERIEA2627_MW01_002_Bologna_Lazio,Bologna,Lazio,Dixon-Coles attack/defense edge (lambda=1.29 expected goals) plus home advantage.,Scoreline entropy 2.83 nats; teams of similar fitted strength.,Dixon-Coles attack/defense edge (mu=1.15 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Both clubs have substantial recent Serie A history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
SERIEA2627_MW01_007_Roma_Fiorentina,Roma,Fiorentina,Dixon-Coles attack/defense edge (lambda=1.63 expected goals) plus home advantage.,Model does not see this as a close match.,Dixon-Coles attack/defense edge (mu=0.88 expected goals).,"Fitted home advantage log-coefficient=0.109, low-score correlation rho=-0.023.",No real market odds available for this fixture yet -- model-only prediction.,"Established club vs established club; no verified injury/lineup feed connected, so squad_injury factors are not incorporated (see data_quality_notes).","rest_day_diff=, congestion_diff= (matches in last 7 days, home minus away).",Both clubs have substantial recent Serie A history informing this estimate.,data_quality_score=0.2 (market/injury/lineup/squad-transfer feeds unavailable).,0.1.0-phase1,2026-09-16T19:12:25+00:00
