team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Atalanta,0.01811,0.0522,0.09278,0.1234,0.13783,0.13894,0.12992,0.10526,0.07519,0.04961,0.03189,0.01945,0.01191,0.00677,0.00357,0.0018,0.00086,0.00038,0.00013,1e-05
Bologna,0.00026,0.00164,0.00528,0.01164,0.02204,0.03633,0.05668,0.08212,0.10628,0.1187,0.11767,0.10727,0.09293,0.07741,0.06001,0.04388,0.02983,0.0184,0.00883,0.00279
Cagliari,0.00025,0.00172,0.00495,0.01047,0.01887,0.0324,0.05046,0.0732,0.09723,0.113,0.1164,0.11224,0.10163,0.08699,0.06701,0.04952,0.03348,0.01889,0.00865,0.00264
Como,0.11656,0.19039,0.20051,0.15642,0.1158,0.0825,0.05663,0.03596,0.02106,0.01176,0.00646,0.00315,0.00155,0.00073,0.00035,0.00012,4e-05,2e-05,0.0,0.0
Fiorentina,6e-05,0.00055,0.00214,0.00491,0.01013,0.01873,0.03188,0.04908,0.0714,0.08896,0.10409,0.11013,0.11236,0.10466,0.09246,0.07617,0.05669,0.03807,0.02052,0.00702
Frosinone,0.0,4e-05,0.00022,0.00039,0.001,0.00206,0.00398,0.00735,0.01186,0.01942,0.02792,0.0369,0.05026,0.06665,0.08344,0.10524,0.13128,0.15842,0.16784,0.12574
Genoa,0.0,6e-05,0.0003,0.00094,0.00224,0.00504,0.00961,0.01825,0.03074,0.04553,0.06187,0.07909,0.09505,0.10955,0.11866,0.12005,0.11341,0.0936,0.06553,0.03049
Internazionale,0.5507,0.23023,0.10845,0.05515,0.02808,0.01477,0.00708,0.00337,0.00136,0.00052,0.00015,0.0001,3e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0
Juventus,0.02782,0.07295,0.11567,0.14167,0.14814,0.13827,0.11716,0.08778,0.05907,0.03818,0.02294,0.01428,0.00785,0.00428,0.00224,0.00104,0.00042,0.00018,5e-05,1e-05
Lazio,0.00748,0.02396,0.04797,0.07284,0.09953,0.12137,0.13484,0.13531,0.11104,0.0835,0.05853,0.04088,0.02683,0.01651,0.0097,0.00532,0.00274,0.00119,0.00039,5e-05
Lecce,0.0,1e-05,6e-05,0.00034,0.00083,0.00191,0.00371,0.00799,0.01419,0.02434,0.03888,0.05407,0.07343,0.09431,0.1174,0.13654,0.14747,0.13773,0.10127,0.04553
Milan,0.01918,0.05376,0.09116,0.12121,0.1368,0.14107,0.1285,0.1031,0.07518,0.05013,0.03278,0.02015,0.01268,0.00707,0.004,0.00186,0.00092,0.00035,8e-05,2e-05
Monza,0.0,0.0,3e-05,0.00013,0.00025,0.0006,0.00107,0.00256,0.00454,0.00741,0.01159,0.01733,0.02535,0.03538,0.05019,0.06979,0.09804,0.14538,0.22143,0.30892
Napoli,0.02954,0.08136,0.12841,0.1531,0.15061,0.13441,0.10981,0.08066,0.05325,0.03339,0.02033,0.01189,0.00651,0.00359,0.00169,0.00092,0.00033,0.00013,6e-05,0.0
Parma,0.0,2e-05,5e-05,0.00031,0.00076,0.00157,0.00357,0.00724,0.01362,0.02235,0.03327,0.04761,0.06344,0.08298,0.10638,0.12669,0.14324,0.14844,0.12523,0.07325
Roma,0.22882,0.28615,0.18863,0.11822,0.07557,0.04578,0.02752,0.01544,0.00745,0.00366,0.00154,0.00075,0.0003,0.00011,5e-05,0.0,1e-05,0.0,0.0,0.0
Sassuolo,0.001,0.00388,0.00964,0.01907,0.03199,0.04852,0.06858,0.09244,0.11074,0.11584,0.11064,0.09882,0.08284,0.06758,0.05136,0.03778,0.02484,0.01505,0.00704,0.00235
Torino,4e-05,0.00014,0.00063,0.00185,0.00442,0.00906,0.01615,0.02802,0.0449,0.06362,0.08214,0.099,0.11076,0.11536,0.11278,0.10304,0.08658,0.06549,0.0398,0.01622
Udinese,0.00016,0.00093,0.00311,0.00786,0.01495,0.02626,0.04207,0.06334,0.08778,0.10476,0.11266,0.11416,0.10475,0.0921,0.07689,0.06044,0.04301,0.02666,0.01378,0.00432
Venezia,0.0,0.0,1e-05,6e-05,0.00017,0.0004,0.00079,0.00154,0.00314,0.00533,0.00826,0.01274,0.01952,0.02797,0.0418,0.0598,0.08682,0.13162,0.21938,0.38065
