team,relegation_probability,expected_points,expected_position
Venezia,0.59282,31.24,17.355
Monza,0.59253,31.27,17.345
Frosinone,0.59164,31.28,17.346
Lecce,0.38364,35.95,16.085
Parma,0.21631,40.89,14.47
Cagliari,0.16473,42.77,13.853
Torino,0.13192,44.18,13.364
Sassuolo,0.10063,46.74,12.434
Genoa,0.09459,46.24,12.611
Udinese,0.06832,48.15,11.932
Fiorentina,0.02475,53.33,10.064
Lazio,0.01699,54.97,9.47
Bologna,0.01602,55.59,9.258
Milan,0.00223,63.08,6.7
Atalanta,0.00086,66.81,5.546
Napoli,0.00072,67.46,5.358
Juventus,0.00052,67.88,5.234
Como,0.00043,69.78,4.726
Roma,0.00036,69.53,4.765
Internazionale,0.0,81.6,2.082
