matchweek,horizon_bucket,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
5,0-2,home_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,0-2,home_win,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,0-2,home_win,0.2,0.3,1,0.2601,1.0,2026-09-21T07:39:04+00:00
5,0-2,home_win,0.3,0.4,0,,,2026-09-21T07:39:04+00:00
5,0-2,home_win,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,0-2,home_win,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,0-2,home_win,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,0-2,home_win,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,0-2,home_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,0-2,home_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,0-2,draw,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,0-2,draw,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,0-2,draw,0.2,0.3,1,0.2875,0.0,2026-09-21T07:39:04+00:00
5,0-2,draw,0.3,0.4,0,,,2026-09-21T07:39:04+00:00
5,0-2,draw,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,0-2,draw,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,0-2,draw,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,0-2,draw,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,0-2,draw,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,0-2,draw,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.2,0.3,0,,,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.3,0.4,0,,,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.4,0.5,1,0.4523,0.0,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,0-2,away_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,3-7,home_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,3-7,home_win,0.1,0.2,1,0.1589,1.0,2026-09-21T07:39:04+00:00
5,3-7,home_win,0.2,0.3,1,0.2552,0.0,2026-09-21T07:39:04+00:00
5,3-7,home_win,0.3,0.4,1,0.3348,1.0,2026-09-21T07:39:04+00:00
5,3-7,home_win,0.4,0.5,1,0.4612,1.0,2026-09-21T07:39:04+00:00
5,3-7,home_win,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
