matchweek,track,outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency,generated_at
5,operational,home_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,operational,home_win,0.1,0.2,1,0.1589,1.0,2026-09-21T07:39:04+00:00
5,operational,home_win,0.2,0.3,3,0.2385,0.3333,2026-09-21T07:39:04+00:00
5,operational,home_win,0.3,0.4,2,0.3379,0.5,2026-09-21T07:39:04+00:00
5,operational,home_win,0.4,0.5,3,0.4512,0.3333,2026-09-21T07:39:04+00:00
5,operational,home_win,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,operational,home_win,0.6,0.7,1,0.6361,1.0,2026-09-21T07:39:04+00:00
5,operational,home_win,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,operational,home_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,operational,home_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,operational,draw,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,operational,draw,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,operational,draw,0.2,0.3,9,0.27,0.3333,2026-09-21T07:39:04+00:00
5,operational,draw,0.3,0.4,1,0.3167,0.0,2026-09-21T07:39:04+00:00
5,operational,draw,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,operational,draw,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,operational,draw,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,operational,draw,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,operational,draw,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,operational,draw,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,operational,away_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,operational,away_win,0.1,0.2,1,0.1214,0.0,2026-09-21T07:39:04+00:00
5,operational,away_win,0.2,0.3,3,0.2562,0.3333,2026-09-21T07:39:04+00:00
5,operational,away_win,0.3,0.4,2,0.3648,0.0,2026-09-21T07:39:04+00:00
5,operational,away_win,0.4,0.5,2,0.4688,0.0,2026-09-21T07:39:04+00:00
5,operational,away_win,0.5,0.6,1,0.5454,1.0,2026-09-21T07:39:04+00:00
5,operational,away_win,0.6,0.7,1,0.6105,0.0,2026-09-21T07:39:04+00:00
5,operational,away_win,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,operational,away_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,operational,away_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.2,0.3,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.3,0.4,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,preseason,home_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.2,0.3,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.3,0.4,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,preseason,draw,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.0,0.1,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.1,0.2,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.2,0.3,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.3,0.4,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.4,0.5,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.5,0.6,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.6,0.7,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.7,0.8,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.8,0.9,0,,,2026-09-21T07:39:04+00:00
5,preseason,away_win,0.9,1.0,0,,,2026-09-21T07:39:04+00:00
