outcome_class,bin_lower,bin_upper,n_matches,mean_predicted_probability,empirical_frequency
home_win,0.0,0.1,107,0.0676,0.1028
home_win,0.1,0.2,364,0.1541,0.1593
home_win,0.2,0.3,401,0.2483,0.2594
home_win,0.3,0.4,447,0.3482,0.3468
home_win,0.4,0.5,395,0.4478,0.4608
home_win,0.5,0.6,348,0.5516,0.5029
home_win,0.6,0.7,305,0.6495,0.6295
home_win,0.7,0.8,185,0.7433,0.6595
home_win,0.8,0.9,85,0.8422,0.7059
home_win,0.9,1.0,23,0.92,0.913
draw,0.0,0.1,62,0.0767,0.1129
draw,0.1,0.2,438,0.1642,0.2123
draw,0.2,0.3,1884,0.2548,0.2707
draw,0.3,0.4,274,0.3165,0.3248
draw,0.4,0.5,2,0.4478,0.0
draw,0.5,0.6,0,,
draw,0.6,0.7,0,,
draw,0.7,0.8,0,,
draw,0.8,0.9,0,,
draw,0.9,1.0,0,,
away_win,0.0,0.1,278,0.0658,0.1295
away_win,0.1,0.2,522,0.1505,0.1379
away_win,0.2,0.3,456,0.249,0.2193
away_win,0.3,0.4,460,0.3465,0.3326
away_win,0.4,0.5,329,0.4471,0.4195
away_win,0.5,0.6,303,0.5466,0.6073
away_win,0.6,0.7,196,0.647,0.6122
away_win,0.7,0.8,80,0.7501,0.65
away_win,0.8,0.9,33,0.8429,0.697
away_win,0.9,1.0,3,0.9445,1.0
