team,title_probability,expected_points,median_points
Internazionale,0.53652,81.6,82.0
Como,0.11009,69.78,70.0
Roma,0.09751,69.53,70.0
Juventus,0.07372,67.88,68.0
Napoli,0.06979,67.46,68.0
Atalanta,0.06119,66.81,67.0
Milan,0.03129,63.08,63.0
Bologna,0.00678,55.59,56.0
Lazio,0.00574,54.97,55.0
Fiorentina,0.00376,53.33,53.0
Sassuolo,0.00117,46.74,47.0
Udinese,0.00108,48.15,48.0
Genoa,0.00058,46.24,46.0
Torino,0.00034,44.18,44.0
Cagliari,0.00022,42.77,42.0
Parma,0.00017,40.89,41.0
Lecce,2e-05,35.95,36.0
Frosinone,1e-05,31.28,31.0
Monza,0.0,31.27,31.0
Venezia,0.0,31.24,31.0
