team,top_4_probability,expected_points,expected_position
Internazionale,0.90982,81.6,2.082
Como,0.54694,69.78,4.726
Roma,0.53708,69.53,4.765
Juventus,0.4705,67.88,5.234
Napoli,0.45291,67.46,5.358
Atalanta,0.42718,66.81,5.546
Milan,0.29047,63.08,6.7
Bologna,0.10389,55.59,9.258
Lazio,0.09264,54.97,9.47
Fiorentina,0.07058,53.33,10.064
Udinese,0.02622,48.15,11.932
Sassuolo,0.026,46.74,12.434
Genoa,0.01862,46.24,12.611
Torino,0.01091,44.18,13.364
Cagliari,0.00783,42.77,13.853
Parma,0.0057,40.89,14.47
Lecce,0.00106,35.95,16.085
Frosinone,0.00059,31.28,17.346
Venezia,0.00055,31.24,17.355
Monza,0.00052,31.27,17.345
