matchweek,scope,track,model,n_matches,log_loss,brier,rps,generated_at
5,matchweek_5,operational,production,10,1.1298,0.6811,0.2344,2026-09-21T07:37:29+00:00
5,matchweek_5,operational,dc_raw,10,1.1899,0.7241,0.2574,2026-09-21T07:37:29+00:00
5,matchweek_5,operational,market,7,1.2539,0.7715,0.2836,2026-09-21T07:37:29+00:00
5,cumulative,operational,production,10,1.1298,0.6811,0.2344,2026-09-21T07:37:29+00:00
5,cumulative,operational,dc_raw,10,1.1899,0.7241,0.2574,2026-09-21T07:37:29+00:00
5,cumulative,operational,market,7,1.2539,0.7715,0.2836,2026-09-21T07:37:29+00:00
5,matchweek_5,preseason,production,0,,,,2026-09-21T07:37:29+00:00
5,matchweek_5,preseason,dc_raw,0,,,,2026-09-21T07:37:29+00:00
5,matchweek_5,preseason,market,0,,,,2026-09-21T07:37:29+00:00
5,cumulative,preseason,production,0,,,,2026-09-21T07:37:29+00:00
5,cumulative,preseason,dc_raw,0,,,,2026-09-21T07:37:29+00:00
5,cumulative,preseason,market,0,,,,2026-09-21T07:37:29+00:00
5,matchweek_5,operational,production,10,1.1298,0.6811,0.2344,2026-09-21T07:38:02+00:00
5,matchweek_5,operational,dc_raw,10,1.1899,0.7241,0.2574,2026-09-21T07:38:02+00:00
5,matchweek_5,operational,market,7,1.2539,0.7715,0.2836,2026-09-21T07:38:02+00:00
5,cumulative,operational,production,10,1.1298,0.6811,0.2344,2026-09-21T07:38:02+00:00
5,cumulative,operational,dc_raw,10,1.1899,0.7241,0.2574,2026-09-21T07:38:02+00:00
5,cumulative,operational,market,7,1.2539,0.7715,0.2836,2026-09-21T07:38:02+00:00
5,matchweek_5,preseason,production,0,,,,2026-09-21T07:38:02+00:00
5,matchweek_5,preseason,dc_raw,0,,,,2026-09-21T07:38:02+00:00
5,matchweek_5,preseason,market,0,,,,2026-09-21T07:38:02+00:00
5,cumulative,preseason,production,0,,,,2026-09-21T07:38:02+00:00
5,cumulative,preseason,dc_raw,0,,,,2026-09-21T07:38:02+00:00
5,cumulative,preseason,market,0,,,,2026-09-21T07:38:02+00:00
5,matchweek_5,operational,production,10,1.1298,0.6811,0.2344,2026-09-21T07:39:04+00:00
5,matchweek_5,operational,dc_raw,10,1.1899,0.7241,0.2574,2026-09-21T07:39:04+00:00
5,matchweek_5,operational,market,7,1.2539,0.7715,0.2836,2026-09-21T07:39:04+00:00
5,cumulative,operational,production,10,1.1298,0.6811,0.2344,2026-09-21T07:39:04+00:00
5,cumulative,operational,dc_raw,10,1.1899,0.7241,0.2574,2026-09-21T07:39:04+00:00
5,cumulative,operational,market,7,1.2539,0.7715,0.2836,2026-09-21T07:39:04+00:00
5,matchweek_5,preseason,production,0,,,,2026-09-21T07:39:04+00:00
5,matchweek_5,preseason,dc_raw,0,,,,2026-09-21T07:39:04+00:00
5,matchweek_5,preseason,market,0,,,,2026-09-21T07:39:04+00:00
5,cumulative,preseason,production,0,,,,2026-09-21T07:39:04+00:00
5,cumulative,preseason,dc_raw,0,,,,2026-09-21T07:39:04+00:00
5,cumulative,preseason,market,0,,,,2026-09-21T07:39:04+00:00
