team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
FC Bayern München,0.82323,0.99346,0.0,82.05,0.86118,0.99678,0.0,83.07,0.03794999999999993,0.0033199999999999896,0.0,1.019999999999996
RB Leipzig,0.01601,0.41931,0.0055,57.64,0.01883,0.52226,0.00315,59.52,0.0028199999999999996,0.10294999999999993,-0.0023499999999999997,1.8800000000000026
Sport-Club Freiburg,0.00073,0.06986,0.08587,45.02,0.00094,0.10924,0.05213,47.48,0.00021,0.03938,-0.03374,2.4599999999999937
SV Elversberg,0.00021,0.01286,0.51816,31.73,0.0004,0.02628,0.42848,34.75,0.00019,0.013420000000000001,-0.08967999999999993,3.0199999999999996
1. FC Köln,0.00016,0.02462,0.24506,38.67,0.0002,0.03735,0.17735,41.17,3.9999999999999996e-05,0.012730000000000002,-0.06770999999999999,2.5
FC Augsburg,0.0001,0.02082,0.20839,39.32,0.00014,0.03179,0.15677,41.25,3.999999999999998e-05,0.010969999999999997,-0.05162,1.9299999999999997
SC Paderborn 07,0.00017,0.0128,0.51852,31.71,0.00019,0.01903,0.49937,32.63,1.9999999999999998e-05,0.006229999999999998,-0.01915,0.9200000000000017
FC Schalke 04,0.00018,0.01277,0.51683,31.71,0.00016,0.01611,0.53906,31.54,-1.9999999999999998e-05,0.0033399999999999992,0.022229999999999972,-0.1700000000000017
SV Werder Bremen,9e-05,0.01785,0.23265,38.58,2e-05,0.00978,0.32744,36.25,-7.000000000000001e-05,-0.00807,0.09479000000000001,-2.3299999999999983
1. FC Union Berlin,0.00016,0.0213,0.20655,39.39,8e-05,0.01988,0.21412,39.27,-8e-05,-0.0014200000000000011,0.007569999999999993,-0.11999999999999744
Hamburger SV,0.00052,0.04171,0.20979,40.32,0.00026,0.03123,0.2526,38.91,-0.00026,-0.010479999999999996,0.04280999999999999,-1.4100000000000037
Borussia Mönchengladbach,0.00045,0.05383,0.10607,43.72,0.00016,0.0346,0.1547,41.59,-0.00029,-0.019230000000000004,0.04863000000000001,-2.1299999999999955
1. FSV Mainz 05,0.00112,0.09113,0.06254,46.61,0.00057,0.07622,0.08045,45.36,-0.0005499999999999999,-0.014910000000000007,0.017909999999999995,-1.25
Eintracht Frankfurt,0.00255,0.14951,0.0364,49.56,0.00136,0.13776,0.04152,48.82,-0.00119,-0.01175000000000001,0.0051199999999999996,-0.740000000000002
Borussia Dortmund,0.0832,0.77295,0.0003,66.49,0.08195,0.82015,0.00018,67.35,-0.0012500000000000011,0.04720000000000002,-0.00011999999999999996,0.8599999999999994
TSG Hoffenheim,0.00198,0.13176,0.04301,48.79,0.00066,0.09233,0.06551,46.5,-0.00132,-0.03942999999999999,0.0225,-2.289999999999999
VfB Stuttgart,0.02428,0.51086,0.00312,59.76,0.01092,0.44718,0.00508,57.83,-0.01336,-0.06367999999999996,0.0019600000000000004,-1.9299999999999997
Bayer 04 Leverkusen,0.04486,0.64259,0.00124,62.9,0.02197,0.57202,0.00208,60.51,-0.022889999999999997,-0.07057000000000002,0.0008399999999999998,-2.3900000000000006
