team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability
1. FC Köln,0.0,0.00039,0.00199,0.0052,0.01041,0.01787,0.02688,0.03778,0.04876,0.06273,0.07594,0.09086,0.10309,0.11167,0.11593,0.11308,0.10087,0.07654
1. FC Union Berlin,0.0,4e-05,0.00039,0.00138,0.00349,0.00653,0.01164,0.01752,0.02632,0.03665,0.05028,0.0666,0.08513,0.10516,0.1253,0.14582,0.16138,0.15638
1. FSV Mainz 05,0.00054,0.00969,0.03582,0.06409,0.08916,0.10538,0.11277,0.11262,0.10348,0.09252,0.07716,0.06314,0.04881,0.03493,0.02432,0.01474,0.00801,0.0028
Bayer 04 Leverkusen,0.02213,0.17405,0.29609,0.19322,0.11972,0.07492,0.04679,0.02928,0.01765,0.01126,0.00687,0.00389,0.00206,0.00121,0.0005,0.00025,0.00011,2e-05
Borussia Dortmund,0.13392,0.51913,0.19186,0.0814,0.03819,0.01846,0.0087,0.0044,0.00214,0.00094,0.00046,0.00022,0.00012,4e-05,1e-05,0.0,0.0,0.0
Borussia Mönchengladbach,0.0,0.00015,0.00088,0.00283,0.00682,0.01184,0.01967,0.0293,0.04112,0.05489,0.06932,0.0851,0.09979,0.11349,0.12213,0.12484,0.11896,0.09887
Eintracht Frankfurt,0.0003,0.00657,0.02604,0.05055,0.07354,0.09248,0.10507,0.1094,0.10652,0.09662,0.08562,0.07207,0.05874,0.04474,0.03221,0.02181,0.01235,0.00536
FC Augsburg,0.00011,0.00363,0.01567,0.0341,0.05403,0.07318,0.08847,0.09841,0.10397,0.10452,0.09788,0.08796,0.07407,0.06,0.04503,0.0317,0.01877,0.0085
FC Bayern München,0.83201,0.13944,0.02218,0.00459,0.00122,0.00037,0.00012,3e-05,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC Schalke 04,0.00023,0.00296,0.00845,0.01333,0.01914,0.02491,0.03062,0.03765,0.04402,0.05094,0.05887,0.0669,0.07524,0.08396,0.09377,0.10628,0.12379,0.15894
Hamburger SV,0.0,0.0001,0.00084,0.00218,0.00482,0.00864,0.01323,0.01944,0.02758,0.03658,0.04794,0.06248,0.07812,0.09676,0.1169,0.13868,0.16344,0.18227
RB Leipzig,0.00527,0.06173,0.14991,0.18386,0.15918,0.12609,0.09485,0.06852,0.05066,0.03592,0.02485,0.01633,0.01016,0.0064,0.00348,0.00183,0.00071,0.00024
SC Paderborn 07,0.0002,0.00221,0.0073,0.01216,0.01737,0.02346,0.02904,0.03556,0.04138,0.04918,0.05716,0.06477,0.07393,0.08229,0.09502,0.10773,0.12692,0.17433
SV Elversberg,0.00042,0.00463,0.01238,0.02064,0.02705,0.03427,0.04128,0.04714,0.05434,0.05959,0.06746,0.07335,0.07957,0.08582,0.09093,0.09505,0.1013,0.10476
SV Werder Bremen,4e-05,0.00135,0.00641,0.01598,0.02903,0.04356,0.05989,0.07564,0.08843,0.0987,0.10382,0.10427,0.09809,0.08711,0.07247,0.05708,0.03837,0.01976
Sport-Club Freiburg,0.00215,0.02772,0.08114,0.1194,0.13508,0.13327,0.11905,0.0999,0.08111,0.06278,0.04779,0.03398,0.02378,0.01559,0.00911,0.00493,0.00252,0.00071
TSG Hoffenheim,9e-05,0.003,0.01549,0.0337,0.05304,0.07236,0.08766,0.09698,0.10248,0.10178,0.09706,0.08738,0.07493,0.06196,0.04754,0.03333,0.02117,0.01004
VfB Stuttgart,0.00257,0.0432,0.12715,0.16137,0.15871,0.13244,0.10425,0.08042,0.06003,0.04438,0.03152,0.0207,0.01438,0.00886,0.00535,0.00285,0.00133,0.00047
