team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
AFC Bournemouth,0.00175,0.01036,0.03992,0.05471,0.06423,0.07092,0.07597,0.07723,0.07853,0.07871,0.07603,0.07279,0.06795,0.06256,0.05538,0.04511,0.03454,0.02166,0.00952,0.00211
Arsenal,0.52304,0.33754,0.08054,0.0305,0.01355,0.00675,0.00369,0.00206,0.00108,0.00057,0.0003,0.0002,0.00012,4e-05,2e-05,1e-05,0.0,0.0,0.0,0.0
Aston Villa,0.00051,0.00433,0.01941,0.03078,0.04013,0.04897,0.05502,0.06101,0.06743,0.073,0.07663,0.0797,0.08226,0.0818,0.0787,0.07216,0.06117,0.04199,0.02004,0.00496
Brentford,0.00413,0.02098,0.06706,0.08204,0.08738,0.08785,0.08631,0.08352,0.0782,0.07404,0.06808,0.06054,0.05319,0.04549,0.03657,0.02837,0.01994,0.01091,0.0045,0.00091
Brighton & Hove Albion,0.00814,0.03639,0.10537,0.11374,0.10762,0.09943,0.08938,0.0808,0.07147,0.06204,0.05396,0.04598,0.03758,0.03032,0.0229,0.0167,0.01077,0.00524,0.00188,0.0003
Chelsea,0.00797,0.03591,0.10503,0.11225,0.10672,0.09698,0.08825,0.0794,0.06938,0.06286,0.0546,0.04672,0.03874,0.03213,0.02487,0.01786,0.01165,0.00608,0.00222,0.00038
Coventry City,0.00016,0.00072,0.00233,0.00304,0.00376,0.00444,0.00485,0.00598,0.00733,0.0085,0.01062,0.01318,0.01584,0.0206,0.0275,0.03809,0.05874,0.10812,0.21139,0.45482
Crystal Palace,4e-05,0.00062,0.00386,0.0078,0.01207,0.01628,0.022,0.02852,0.03489,0.04294,0.05278,0.06272,0.07632,0.08913,0.10432,0.12039,0.12867,0.11097,0.06528,0.02038
Everton,0.00098,0.00592,0.02479,0.03794,0.0479,0.05612,0.06292,0.0704,0.07456,0.07816,0.08066,0.08102,0.0804,0.07699,0.06925,0.0596,0.04675,0.02973,0.01294,0.00295
Fulham,0.00014,0.00099,0.00558,0.01018,0.01574,0.02126,0.02812,0.03507,0.04277,0.0509,0.06041,0.06985,0.08092,0.09249,0.10342,0.11158,0.1115,0.09042,0.05203,0.01662
Hull City,0.00078,0.00244,0.00627,0.00763,0.00852,0.00973,0.0114,0.01306,0.0151,0.01688,0.0204,0.02437,0.02974,0.03647,0.04646,0.06296,0.09191,0.16041,0.23734,0.19813
Ipswich Town,0.00066,0.00186,0.0049,0.00603,0.00728,0.00808,0.00952,0.01112,0.01299,0.01494,0.01724,0.02102,0.02611,0.03154,0.04137,0.05685,0.08487,0.15187,0.23848,0.25328
Leeds United,0.0059,0.02537,0.07278,0.08253,0.08503,0.08371,0.08158,0.07823,0.07491,0.06963,0.06463,0.06003,0.05282,0.04661,0.03947,0.03145,0.0238,0.01445,0.00575,0.0013
Liverpool,0.02156,0.07615,0.1858,0.15152,0.12083,0.09612,0.07737,0.06304,0.05072,0.04138,0.0328,0.02622,0.01951,0.0144,0.00998,0.00632,0.0039,0.00173,0.00056,8e-05
Manchester City,0.41574,0.39377,0.10525,0.04185,0.01916,0.01034,0.00577,0.00353,0.00189,0.00121,0.0007,0.0004,0.00018,0.0001,7e-05,2e-05,0.0,0.0,0.0,0.0
Manchester United,0.0036,0.01886,0.06798,0.08291,0.0859,0.08728,0.08538,0.08132,0.07808,0.07222,0.06732,0.06178,0.0546,0.04753,0.0387,0.02966,0.02061,0.01114,0.00427,0.00086
Newcastle United,0.00283,0.01572,0.05308,0.07034,0.07918,0.08364,0.08454,0.08262,0.08052,0.07699,0.0724,0.06528,0.05979,0.05129,0.04294,0.03409,0.02385,0.0139,0.00572,0.0013
Nottingham Forest,0.00163,0.0086,0.0344,0.04914,0.05939,0.0662,0.07172,0.0751,0.07877,0.07922,0.07842,0.07698,0.07243,0.06725,0.05934,0.04917,0.03716,0.02293,0.00983,0.0023
Sunderland,0.00038,0.0029,0.01248,0.01863,0.02528,0.03113,0.03618,0.04207,0.04886,0.05471,0.06201,0.06971,0.07733,0.08441,0.09355,0.09868,0.09832,0.08217,0.04674,0.01444
Tottenham Hotspur,6e-05,0.00058,0.00318,0.00645,0.01032,0.01478,0.02003,0.02592,0.03251,0.0411,0.05,0.06148,0.07415,0.08884,0.10519,0.12092,0.13184,0.11628,0.0715,0.02487
