team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Arsenal,0.49952,0.95722,0.0,81.49,0.52304,0.97162,0.0,83.01,0.02351999999999993,0.01440000000000008,0.0,1.5200000000000102
Manchester City,0.40411,0.93528,2e-05,79.73,0.41574,0.95661,0.0,81.23,0.011629999999999974,0.02132999999999996,-2e-05,1.5
Leeds United,0.00315,0.09493,0.06696,51.79,0.0059,0.18658,0.0215,56.46,0.00275,0.09165,-0.04546000000000001,4.670000000000002
Brighton & Hove Albion,0.00546,0.16548,0.02279,56.01,0.00814,0.26364,0.00742,59.18,0.00268,0.09816,-0.015370000000000002,3.1700000000000017
Nottingham Forest,0.0011,0.05597,0.07736,49.82,0.00163,0.09376,0.03506,52.86,0.0005299999999999999,0.03779,-0.0423,3.039999999999999
Fulham,0.00012,0.01498,0.20815,43.75,0.00014,0.01689,0.15907,44.62,1.9999999999999985e-05,0.0019099999999999985,-0.04908000000000001,0.8699999999999974
Tottenham Hotspur,0.00013,0.01243,0.23562,43.09,6e-05,0.01027,0.21265,42.9,-7e-05,-0.0021600000000000005,-0.02296999999999999,-0.19000000000000483
Crystal Palace,0.00031,0.02438,0.15165,46.07,4e-05,0.01232,0.19663,43.42,-0.00027,-0.01206,0.04497999999999999,-2.6499999999999986
Everton,0.00164,0.07391,0.05496,51.49,0.00098,0.06963,0.04562,51.35,-0.00066,-0.004280000000000006,-0.009340000000000001,-0.14000000000000057
Sunderland,0.00127,0.0475,0.13164,47.57,0.00038,0.0344,0.14335,46.2,-0.0008900000000000001,-0.0131,0.011709999999999998,-1.3699999999999974
AFC Bournemouth,0.00277,0.11559,0.03924,53.67,0.00175,0.10674,0.0333,53.39,-0.0010199999999999999,-0.008849999999999997,-0.005939999999999994,-0.28000000000000114
Aston Villa,0.00164,0.08311,0.05572,51.86,0.00051,0.05502,0.06699,49.86,-0.00113,-0.028090000000000004,0.011269999999999995,-2.0
Brentford,0.00542,0.16414,0.0234,55.87,0.00413,0.1742,0.01632,56.38,-0.0012900000000000003,0.010059999999999986,-0.0070799999999999995,0.5100000000000051
Coventry City,0.00164,0.02202,0.69394,29.4,0.00016,0.00625,0.77434,26.52,-0.00148,-0.01577,0.08040000000000003,-2.879999999999999
Ipswich Town,0.00244,0.02682,0.63733,32.19,0.00066,0.01345,0.64363,32.34,-0.00178,-0.01337,0.006300000000000083,0.15000000000000568
Hull City,0.00418,0.03915,0.55627,35.61,0.00078,0.01711,0.59589,33.95,-0.0034,-0.022039999999999997,0.03961999999999999,-1.6599999999999966
Manchester United,0.00822,0.20212,0.01735,57.3,0.0036,0.17334,0.01626,56.23,-0.00462,-0.02878,-0.0010900000000000007,-1.0700000000000003
Chelsea,0.01301,0.28155,0.00958,59.93,0.00797,0.26115,0.00868,59.29,-0.005040000000000001,-0.02040000000000003,-0.0008999999999999998,-0.6400000000000006
Newcastle United,0.00823,0.21046,0.0152,57.75,0.00283,0.14197,0.02092,55.37,-0.005399999999999999,-0.06849,0.005720000000000001,-2.3800000000000026
Liverpool,0.03564,0.47296,0.00281,64.53,0.02156,0.43503,0.00238,63.58,-0.014079999999999999,-0.03793000000000002,-0.0004299999999999998,-0.9500000000000028
