team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
FC Barcelona,0.65937,0.98358,0.0,80.18,0.71266,0.99414,0.0,83.58,0.05328999999999995,0.010560000000000014,0.0,3.3999999999999915
Real Madrid,0.19332,0.89766,1e-05,72.07,0.22822,0.95414,0.0,75.77,0.034900000000000014,0.056479999999999975,-1e-05,3.700000000000003
Atlético de Madrid,0.03264,0.55308,0.00088,62.32,0.04164,0.71484,0.0004,66.1,0.009000000000000001,0.16176000000000001,-0.00048,3.779999999999994
CA Osasuna,0.00056,0.05942,0.05243,46.86,0.00088,0.10456,0.03736,50.14,0.0003200000000000001,0.04514,-0.01507,3.280000000000001
Levante UD,0.00016,0.02256,0.18738,40.71,0.00042,0.06694,0.10162,46.46,0.00026000000000000003,0.04438,-0.08575999999999999,5.75
Athletic Club,0.00028,0.03968,0.08143,44.86,0.00054,0.08895,0.04864,49.1,0.00026000000000000003,0.04927,-0.03279,4.240000000000002
Deportivo Alavés,0.00021,0.03232,0.08585,44.05,0.00028,0.06145,0.06104,47.51,6.999999999999997e-05,0.029129999999999996,-0.02481,3.460000000000001
Real Sociedad,0.0002,0.033,0.08779,44.3,0.00025,0.06016,0.06688,47.41,4.9999999999999996e-05,0.027159999999999997,-0.020910000000000012,3.1099999999999994
RCD Espanyol de Barcelona,9e-05,0.02785,0.10267,43.28,7e-05,0.02534,0.14766,43.06,-2.0000000000000012e-05,-0.0025099999999999983,0.044990000000000016,-0.21999999999999886
Elche CF,7e-05,0.01431,0.21936,39.28,2e-05,0.0148,0.27219,39.62,-4.9999999999999996e-05,0.0004900000000000009,0.05282999999999999,0.3399999999999963
Valencia CF,0.0001,0.02174,0.11306,42.55,2e-05,0.0159,0.18622,41.51,-8e-05,-0.005839999999999998,0.07316,-1.0399999999999991
Getafe CF,0.00016,0.01988,0.12202,42.08,5e-05,0.01618,0.18714,41.53,-0.00011000000000000002,-0.0036999999999999984,0.06512,-0.5499999999999972
Rayo Vallecano,0.00014,0.02674,0.10325,43.06,2e-05,0.0228,0.16015,42.54,-0.00011999999999999999,-0.003939999999999999,0.05689999999999999,-0.5200000000000031
Celta Vigo,0.00049,0.05513,0.05467,46.42,0.00012,0.03909,0.10066,45.08,-0.00037,-0.01604,0.045989999999999996,-1.3400000000000034
Sevilla FC,0.0008,0.0704,0.04308,47.91,0.0003,0.05672,0.07358,46.99,-0.0005,-0.013680000000000005,0.030500000000000006,-0.9199999999999946
Villarreal CF,0.0187,0.4334,0.00216,59.65,0.00869,0.41774,0.00365,59.3,-0.010010000000000002,-0.015660000000000007,0.00149,-0.3500000000000014
Real Betis,0.01638,0.39856,0.00268,59.13,0.00572,0.32605,0.0062,57.63,-0.01066,-0.07251000000000002,0.0035199999999999997,-1.5
R. Racing Club,0.0235,0.09815,0.59052,32.03,3e-05,0.00676,0.5027,34.28,-0.02347,-0.09139,-0.08782000000000001,2.25
RC Deportivo,0.0263,0.10589,0.5722,33.03,5e-05,0.00883,0.45977,35.34,-0.02625,-0.09706,-0.11243000000000003,2.3100000000000023
Málaga CF,0.02652,0.10665,0.57858,32.74,0.0,0.00461,0.58415,32.18,-0.02652,-0.10203999999999999,0.005569999999999964,-0.5600000000000023
