team,expected_position,median_position,position_5th_percentile,position_25th_percentile,position_75th_percentile,position_95th_percentile,expected_points,points_5th_percentile,points_25th_percentile,median_points,points_75th_percentile,points_95th_percentile,expected_wins,expected_draws,expected_losses,expected_goals_for,expected_goals_against,expected_goal_difference,title_probability,top_4_probability,top_5_probability,top_half_probability,relegation_probability,most_likely_finish,model_version,generated_at
FC Barcelona,1.267,1,1,1,1,2,91.23,78.0,86.0,92.0,97.0,103.0,28.8,4.84,4.36,115.64,38.22,77.41,0.77916,0.99869,0.99968,0.99999,0.0,1,0.1.0-phase1,2026-09-20T23:46:18+00:00
Real Madrid,2.181,2,1,2,2,4,81.81,68.0,76.0,82.0,88.0,95.0,25.26,6.04,6.7,87.11,37.68,49.43,0.18768,0.9738,0.98976,0.99976,0.0,2,0.1.0-phase1,2026-09-20T23:46:18+00:00
Atlético de Madrid,3.767,3,2,3,4,7,71.08,57.0,65.0,71.0,77.0,85.0,21.04,7.95,9.01,72.37,42.32,30.06,0.02396,0.77284,0.87598,0.9904,0.00012,3,0.1.0-phase1,2026-09-20T23:46:18+00:00
Real Betis,4.947,4,2,3,6,10,66.21,52.0,60.0,66.0,72.0,81.0,19.58,7.46,10.96,58.36,45.87,12.49,0.00744,0.54455,0.70732,0.96207,0.00064,4,0.1.0-phase1,2026-09-20T23:46:18+00:00
Villarreal CF,6.945,6,3,5,9,14,59.07,44.0,53.0,59.0,65.0,73.0,16.8,8.68,12.53,70.41,55.74,14.67,0.00096,0.24014,0.4121,0.85476,0.0067,5,0.1.0-phase1,2026-09-20T23:46:18+00:00
Athletic Club,8.782,8,4,6,11,16,54.47,40.0,48.0,54.0,61.0,70.0,15.03,9.39,13.58,50.63,46.83,3.8,0.00033,0.11532,0.22256,0.69672,0.02414,6,0.1.0-phase1,2026-09-20T23:46:18+00:00
Sevilla FC,9.198,9,4,6,12,16,53.67,40.0,48.0,53.0,60.0,68.0,15.01,8.65,14.34,49.94,53.71,-3.78,0.00022,0.08896,0.17942,0.65886,0.02483,6,0.1.0-phase1,2026-09-20T23:46:18+00:00
Deportivo Alavés,10.484,10,4,7,13,18,50.44,36.0,44.0,50.0,56.0,65.0,13.88,8.79,15.33,50.72,52.43,-1.71,6e-05,0.05108,0.10904,0.5304,0.05262,8,0.1.0-phase1,2026-09-20T23:46:18+00:00
Real Sociedad,10.598,10,5,7,14,18,50.44,36.0,44.0,50.0,56.0,65.0,13.98,8.5,15.52,51.21,58.55,-7.34,6e-05,0.04736,0.10607,0.51933,0.05901,8,0.1.0-phase1,2026-09-20T23:46:18+00:00
Rayo Vallecano,11.412,11,5,8,15,18,48.59,34.0,42.0,48.0,55.0,63.0,13.09,9.31,15.59,48.34,57.05,-8.71,1e-05,0.03276,0.07618,0.43859,0.0845,10,0.1.0-phase1,2026-09-20T23:46:18+00:00
RCD Espanyol de Barcelona,11.808,12,5,9,15,19,47.5,33.0,41.0,47.0,53.0,62.0,12.87,8.89,16.24,48.0,52.77,-4.77,2e-05,0.02798,0.06488,0.40067,0.10188,11,0.1.0-phase1,2026-09-20T23:46:18+00:00
Celta Vigo,11.941,12,5,9,15,19,47.17,33.0,41.0,47.0,53.0,62.0,11.82,11.7,14.48,45.77,51.36,-5.59,1e-05,0.02557,0.06051,0.38857,0.10788,12,0.1.0-phase1,2026-09-20T23:46:18+00:00
Levante UD,12.314,12,5,9,16,19,46.52,31.0,40.0,46.0,53.0,63.0,12.36,9.45,16.19,52.49,62.98,-10.49,5e-05,0.03105,0.06802,0.36485,0.14806,13,0.1.0-phase1,2026-09-20T23:46:18+00:00
CA Osasuna,12.972,13,6,10,16,19,45.35,31.0,39.0,45.0,51.0,60.0,12.2,8.73,17.06,43.42,60.68,-17.27,1e-05,0.01454,0.03694,0.2924,0.157,15,0.1.0-phase1,2026-09-20T23:46:18+00:00
Valencia CF,13.892,14,7,11,17,20,43.14,29.0,37.0,43.0,49.0,58.0,11.37,9.02,17.61,38.96,55.51,-16.55,0.0,0.0077,0.02148,0.21958,0.22023,17,0.1.0-phase1,2026-09-20T23:46:18+00:00
Getafe CF,14.324,15,7,12,17,20,41.99,28.0,36.0,42.0,48.0,56.0,10.12,11.63,16.25,29.78,42.85,-13.07,0.0,0.00535,0.01544,0.18387,0.2462,17,0.1.0-phase1,2026-09-20T23:46:18+00:00
Elche CF,14.814,16,7,12,18,20,40.74,26.0,34.0,41.0,47.0,56.0,10.5,9.23,18.27,50.79,69.65,-18.86,0.0,0.00665,0.01748,0.16904,0.32086,19,0.1.0-phase1,2026-09-20T23:46:18+00:00
RC Deportivo,15.462,17,7,13,19,20,39.15,24.0,32.0,39.0,45.0,56.0,9.62,10.29,18.09,41.29,64.09,-22.8,2e-05,0.00707,0.01679,0.13923,0.40202,20,0.1.0-phase1,2026-09-20T23:46:18+00:00
R. Racing Club,15.83,17,8,13,19,20,38.22,23.0,31.0,38.0,45.0,55.0,9.93,8.44,19.63,43.81,70.93,-27.12,2e-05,0.0061,0.01412,0.12204,0.44624,20,0.1.0-phase1,2026-09-20T23:46:18+00:00
Málaga CF,17.06,18,10,15,20,20,34.43,19.0,28.0,34.0,41.0,51.0,7.95,10.59,19.47,35.53,65.33,-29.8,0.0,0.00249,0.00622,0.06884,0.59704,20,0.1.0-phase1,2026-09-20T23:46:18+00:00
