team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Athletic Club,0.00033,0.00563,0.03342,0.07595,0.10724,0.11453,0.10737,0.09521,0.08448,0.07257,0.06404,0.05532,0.04595,0.03958,0.03124,0.02477,0.01822,0.01274,0.0079,0.00351
Atlético de Madrid,0.02396,0.155,0.38206,0.21182,0.10314,0.05247,0.0284,0.01686,0.01041,0.00628,0.0037,0.00242,0.00154,0.00088,0.00054,0.00026,0.00014,9e-05,3e-05,0.0
CA Osasuna,1e-05,0.00034,0.00302,0.01118,0.0224,0.03345,0.04337,0.05242,0.05985,0.06637,0.07184,0.07683,0.0804,0.08213,0.0827,0.08064,0.07606,0.0679,0.05525,0.03385
Celta Vigo,1e-05,0.00065,0.00628,0.01863,0.03494,0.04977,0.05987,0.06763,0.07364,0.07715,0.07749,0.08018,0.07708,0.07482,0.07058,0.06465,0.05874,0.04888,0.03755,0.02144
Deportivo Alavés,6e-05,0.00187,0.01344,0.03571,0.05796,0.07569,0.08439,0.08892,0.08777,0.08459,0.07984,0.07344,0.06817,0.06115,0.05307,0.04514,0.03615,0.02726,0.01738,0.00798
Elche CF,0.0,0.0001,0.00144,0.00511,0.01082,0.01738,0.02421,0.02986,0.03744,0.04268,0.04984,0.05644,0.06426,0.07164,0.07962,0.08992,0.09838,0.10812,0.11166,0.10108
FC Barcelona,0.77916,0.18352,0.03049,0.00551,0.00099,0.00023,5e-05,2e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Getafe CF,0.0,7e-05,0.00107,0.00421,0.0101,0.01746,0.02603,0.03375,0.0417,0.04949,0.05755,0.06598,0.07463,0.08268,0.09114,0.09709,0.10086,0.09912,0.08751,0.05958
Levante UD,5e-05,0.00127,0.00829,0.02144,0.03697,0.0486,0.05505,0.06112,0.06464,0.06742,0.06959,0.07033,0.07092,0.07077,0.07082,0.06908,0.06558,0.05961,0.05239,0.03606
Málaga CF,0.0,6e-05,0.00056,0.00187,0.00374,0.00637,0.00923,0.01229,0.01566,0.01907,0.02353,0.02857,0.03457,0.04261,0.05234,0.0669,0.0856,0.11575,0.16857,0.31272
R. Racing Club,2e-05,0.00017,0.00146,0.00446,0.00802,0.01246,0.0169,0.0214,0.02612,0.03105,0.03591,0.04284,0.05008,0.0587,0.06756,0.08025,0.09638,0.1177,0.14909,0.17945
RC Deportivo,2e-05,0.0002,0.0019,0.00495,0.00972,0.0145,0.01976,0.02419,0.02929,0.0347,0.0405,0.04594,0.05356,0.06204,0.07267,0.08454,0.09949,0.11848,0.14079,0.14275
RCD Espanyol de Barcelona,2e-05,0.00068,0.00686,0.02042,0.0369,0.05174,0.0621,0.06982,0.07426,0.07788,0.07892,0.07837,0.07672,0.07345,0.06934,0.06395,0.05669,0.04738,0.03483,0.01967
Rayo Vallecano,1e-05,0.00082,0.00805,0.02388,0.04341,0.05852,0.0695,0.07514,0.0785,0.08076,0.07974,0.07748,0.07527,0.07011,0.06555,0.05809,0.05068,0.04038,0.0293,0.01482
Real Betis,0.00744,0.06254,0.21804,0.25654,0.16276,0.09956,0.0645,0.04244,0.02854,0.01972,0.0132,0.00908,0.00603,0.00402,0.00262,0.00145,0.00088,0.00042,0.00019,4e-05
Real Madrid,0.18768,0.56602,0.16941,0.0507,0.01596,0.0057,0.00237,0.00114,0.00053,0.00026,0.00011,7e-05,3e-05,1e-05,0.0,1e-05,0.0,0.0,0.0,0.0
Real Sociedad,6e-05,0.00141,0.01174,0.03414,0.05871,0.07575,0.08373,0.08572,0.08489,0.08317,0.08033,0.07405,0.06854,0.06122,0.05297,0.04657,0.03799,0.02924,0.01983,0.00993
Sevilla FC,0.00022,0.00395,0.02478,0.06002,0.09046,0.10496,0.10462,0.09966,0.09024,0.07996,0.07156,0.06223,0.05249,0.04501,0.03632,0.02799,0.0207,0.01386,0.00786,0.00311
Valencia CF,0.0,0.00016,0.00153,0.00601,0.01378,0.02247,0.03212,0.03958,0.04755,0.05638,0.06326,0.06956,0.07687,0.08182,0.0878,0.08954,0.09134,0.08899,0.0778,0.05344
Villarreal CF,0.00096,0.01554,0.07618,0.14746,0.17196,0.13841,0.10646,0.08283,0.06447,0.05049,0.03903,0.03086,0.02288,0.01737,0.01312,0.00916,0.00613,0.00406,0.00206,0.00058
