team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
AS Monaco,0.07673,0.45298,0.00444,57.78,0.14948,0.57771,0.00109,61.19,0.07275,0.12472999999999995,-0.0033500000000000005,3.4099999999999966
LOSC Lille,0.0774,0.47151,0.00393,58.11,0.12049,0.52717,0.0015,59.99,0.04309,0.05566000000000004,-0.0024300000000000003,1.8800000000000026
Olympique Lyonnais,0.0486,0.35384,0.00878,55.26,0.07298,0.39188,0.0041,56.8,0.024380000000000006,0.03804000000000002,-0.004679999999999999,1.5399999999999991
Paris FC,0.0277,0.2127,0.04067,50.42,0.04579,0.26756,0.01741,53.15,0.01809,0.05486000000000002,-0.02326,2.729999999999997
RC Strasbourg Alsace,0.01758,0.18602,0.02896,50.58,0.03462,0.25242,0.01143,53.33,0.01704,0.06639999999999999,-0.01753,2.75
Stade Rennais FC,0.03099,0.27642,0.01535,53.21,0.04714,0.30408,0.00833,54.7,0.01615,0.027660000000000018,-0.00702,1.490000000000002
FC Lorient,0.00227,0.04083,0.18355,40.9,0.00478,0.0578,0.09887,43.84,0.0025100000000000005,0.01697,-0.08467999999999999,2.940000000000005
Stade Brestois 29,0.00126,0.02852,0.18359,40.39,0.00227,0.03687,0.1142,42.47,0.0010099999999999998,0.00835,-0.06939000000000001,2.0799999999999983
Havre Athletic Club,0.00022,0.00808,0.36688,35.31,0.00014,0.00352,0.41903,33.48,-8.000000000000002e-05,-0.00456,0.05215000000000003,-1.8300000000000054
Angers SCO,0.00016,0.00526,0.43283,33.87,5e-05,0.00256,0.4677,32.58,-0.00011000000000000002,-0.0026999999999999997,0.03487000000000001,-1.2899999999999991
Le Mans FC,0.00056,0.00875,0.58387,30.45,0.0004,0.0052,0.59845,29.78,-0.00015999999999999993,-0.003550000000000001,0.014580000000000037,-0.6699999999999982
OGC Nice,0.00073,0.01853,0.23794,38.71,0.00052,0.0116,0.24507,37.78,-0.00021,-0.006930000000000002,0.0071299999999999975,-0.9299999999999997
AJ Auxerre,0.00051,0.014,0.30745,36.98,0.0003,0.00732,0.3424,35.45,-0.00021000000000000006,-0.00668,0.03494999999999998,-1.529999999999994
Estac Troyes,0.001,0.01516,0.47474,33.46,0.00061,0.00774,0.5213,31.88,-0.00039000000000000005,-0.0074199999999999995,0.04655999999999999,-1.5800000000000018
Toulouse FC,0.00272,0.05151,0.11828,43.14,0.00163,0.03014,0.13572,41.57,-0.0010900000000000003,-0.02137,0.01744000000000001,-1.5700000000000003
Olympique de Marseille,0.065,0.42188,0.00581,56.84,0.04412,0.30098,0.00844,54.44,-0.020880000000000003,-0.12089999999999995,0.0026299999999999995,-2.4000000000000057
RC Lens,0.10148,0.52508,0.00289,59.21,0.06399,0.37412,0.00486,56.22,-0.037489999999999996,-0.15095999999999998,0.0019699999999999995,-2.990000000000002
Paris Saint-Germain,0.54509,0.90892,6e-05,70.5,0.41068,0.84131,9e-05,67.55,-0.13440999999999997,-0.06760999999999995,3.0000000000000004e-05,-2.950000000000003
