team,expected_position,median_position,position_5th_percentile,position_25th_percentile,position_75th_percentile,position_95th_percentile,expected_points,points_5th_percentile,points_25th_percentile,median_points,points_75th_percentile,points_95th_percentile,expected_wins,expected_draws,expected_losses,expected_goals_for,expected_goals_against,expected_goal_difference,title_probability,top_4_probability,top_5_probability,top_half_probability,relegation_probability,most_likely_finish,model_version,generated_at
Paris Saint-Germain,2.053,1,1,1,3,5,70.0,57.0,65.0,70.0,75.0,82.0,20.88,7.35,5.77,73.84,35.22,38.62,0.52788,0.9179,0.95301,0.99812,2e-05,1,0.1.0-phase1,2026-09-21T07:40:16+00:00
AS Monaco,3.846,3,1,2,5,9,62.83,48.0,57.0,63.0,69.0,77.0,18.52,7.28,8.2,61.62,40.66,20.96,0.1662,0.67685,0.77538,0.97964,0.00037,2,0.1.0-phase1,2026-09-21T07:40:16+00:00
Olympique Lyonnais,4.677,4,1,2,6,10,59.75,45.0,54.0,60.0,66.0,74.0,17.07,8.54,8.39,59.95,38.14,21.81,0.10232,0.54955,0.66666,0.95991,0.00119,3,0.1.0-phase1,2026-09-21T07:40:16+00:00
LOSC Lille,5.181,5,1,3,7,11,58.33,44.0,52.0,58.0,64.0,72.0,16.71,8.21,9.08,51.6,35.02,16.59,0.07176,0.47667,0.59773,0.94336,0.00163,3,0.1.0-phase1,2026-09-21T07:40:16+00:00
Paris FC,6.579,6,2,4,9,13,54.52,39.0,48.0,54.0,61.0,70.0,15.16,9.04,9.8,50.29,39.96,10.33,0.04315,0.31592,0.42334,0.85863,0.00938,5,0.1.0-phase1,2026-09-21T07:40:16+00:00
Stade Rennais FC,6.729,6,2,4,9,13,54.18,40.0,48.0,54.0,60.0,69.0,15.59,7.41,11.0,57.55,52.19,5.36,0.02996,0.28593,0.39574,0.86027,0.0078,6,0.1.0-phase1,2026-09-21T07:40:16+00:00
RC Lens,6.868,7,2,4,9,13,53.25,39.0,47.0,53.0,59.0,67.0,15.22,7.6,11.19,58.86,44.22,14.64,0.0249,0.26592,0.37659,0.85536,0.00843,6,0.1.0-phase1,2026-09-21T07:40:16+00:00
Olympique de Marseille,7.622,7,2,5,10,14,51.32,37.0,46.0,51.0,57.0,65.0,15.0,6.33,12.68,59.18,46.86,12.32,0.01404,0.19647,0.2938,0.79787,0.01568,7,0.1.0-phase1,2026-09-21T07:40:16+00:00
RC Strasbourg Alsace,7.776,8,2,5,10,14,51.16,37.0,45.0,51.0,57.0,65.0,14.6,7.36,12.04,59.38,53.18,6.2,0.01495,0.18554,0.27695,0.78328,0.01666,7,0.1.0-phase1,2026-09-21T07:40:16+00:00
Toulouse FC,10.95,11,5,9,14,16,43.11,29.0,37.0,43.0,49.0,57.0,11.43,8.83,13.74,46.92,52.46,-5.54,0.00162,0.03875,0.06933,0.43782,0.10002,11,0.1.0-phase1,2026-09-21T07:40:16+00:00
FC Lorient,11.72,12,5,9,14,17,41.05,27.0,35.0,41.0,47.0,56.0,10.71,8.92,14.37,42.63,50.39,-7.76,0.00133,0.029,0.05198,0.35032,0.15331,12,0.1.0-phase1,2026-09-21T07:40:16+00:00
Stade Brestois 29,12.045,12,6,10,15,17,40.27,27.0,34.0,40.0,46.0,54.0,10.56,8.61,14.84,46.33,55.81,-9.48,0.00054,0.0197,0.03776,0.31101,0.16479,13,0.1.0-phase1,2026-09-21T07:40:16+00:00
AJ Auxerre,12.363,13,6,10,15,17,39.69,26.0,34.0,39.0,45.0,54.0,10.91,6.96,16.13,42.13,57.44,-15.31,0.00063,0.01787,0.03322,0.27898,0.19406,14,0.1.0-phase1,2026-09-21T07:40:16+00:00
OGC Nice,12.622,13,7,10,15,17,38.89,26.0,33.0,39.0,44.0,53.0,9.96,9.01,15.03,37.75,50.79,-13.04,0.00038,0.01283,0.02511,0.25144,0.21142,14,0.1.0-phase1,2026-09-21T07:40:16+00:00
Angers SCO,14.158,15,9,12,16,18,34.62,22.0,29.0,34.0,40.0,48.0,8.79,8.23,16.97,32.3,50.13,-17.83,9e-05,0.00342,0.00731,0.11862,0.38583,16,0.1.0-phase1,2026-09-21T07:40:16+00:00
Havre Athletic Club,14.987,16,10,13,17,18,31.83,19.0,26.0,32.0,37.0,46.0,7.56,9.15,17.29,33.4,52.2,-18.79,2e-05,0.00152,0.00367,0.07306,0.51745,17,0.1.0-phase1,2026-09-21T07:40:16+00:00
Le Mans FC,15.17,16,9,14,17,18,31.08,17.0,25.0,31.0,37.0,47.0,7.25,9.34,17.41,37.55,63.77,-26.22,0.00014,0.00376,0.0076,0.0814,0.56853,18,0.1.0-phase1,2026-09-21T07:40:16+00:00
Estac Troyes,15.653,17,10,14,18,18,29.37,15.0,23.0,29.0,35.0,45.0,7.35,7.32,19.33,33.13,65.99,-32.87,6e-05,0.0024,0.00481,0.06091,0.64344,18,0.1.0-phase1,2026-09-21T07:40:16+00:00
